基金代码,基金名称,基金类型,限购额度情况,狭义海外AI占比,扩展海外AI占比,广义离岸AI占比,匹配持仓数,核心持仓摘要
159509,纳指科技ETF景顺,指数型-海外股票,场内交易；场外申购限额不适用；数据日05-22,60.41%,60.41%,60.41%,10,英伟达 12.69%; 微软 12.12%; 博通 7.25%; Meta Platforms Inc-A 6.79%; 谷歌-A 6.10%; 谷歌-C 5.69%; 美光科技 2.94%; Palantir Technologies Inc-A 2.45%
018036,长城全球新能源车股票发起式(QDII)C,QDII-普通股票,限大额；起购10元；日累计100元；数据日05-22,53.24%,57.44%,57.44%,10,台积电 7.44%; 阿斯麦 7.27%; 英伟达 6.99%; 谷歌-A 6.33%; 美光科技 5.95%; 博通 5.45%; 亚马逊 5.04%; 科磊 4.54%
501226,长城全球新能源车股票发起式(QDII)A,QDII-普通股票,限大额；起购10元；日累计100元；数据日05-22,53.24%,57.44%,57.44%,10,台积电 7.44%; 阿斯麦 7.27%; 英伟达 6.99%; 谷歌-A 6.33%; 美光科技 5.95%; 博通 5.45%; 亚马逊 5.04%; 科磊 4.54%
017437,华宝纳斯达克精选股票发起式(QDII)C,QDII-普通股票,限大额；起购10元；日累计5000元；数据日05-22,48.10%,48.10%,48.10%,7,英伟达 9.28%; 微软 7.50%; 博通 7.43%; 谷歌-C 6.82%; 亚马逊 6.34%; Meta Platforms Inc-A 5.77%; 迈威尔科技 4.96%
017436,华宝纳斯达克精选股票发起式(QDII)A,QDII-普通股票,限大额；起购10元；日累计5000元；数据日05-22,48.10%,48.10%,48.10%,7,英伟达 9.28%; 微软 7.50%; 博通 7.43%; 谷歌-C 6.82%; 亚马逊 6.34%; Meta Platforms Inc-A 5.77%; 迈威尔科技 4.96%
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,暂停申购；当前不可场外申购；数据日05-22,47.76%,47.76%,47.76%,8,英伟达 20.16%; 微软 13.08%; 博通 6.98%; 美光科技 1.81%; Palantir Technologies Inc-A 1.59%; 超威半导体 1.58%; 应用材料 1.29%; 拉姆研究 1.27%
012869,易方达标普信息科技指数(QDII-LOF)C(美元现汇),指数型-海外股票,暂停申购；当前不可场外申购；数据日05-22,47.76%,47.76%,47.76%,8,英伟达 20.16%; 微软 13.08%; 博通 6.98%; 美光科技 1.81%; Palantir Technologies Inc-A 1.59%; 超威半导体 1.58%; 应用材料 1.29%; 拉姆研究 1.27%
012868,易方达标普信息科技指数(QDII-LOF)C(人民币),指数型-海外股票,暂停申购；当前不可场外申购；数据日05-22,47.76%,47.76%,47.76%,8,英伟达 20.16%; 微软 13.08%; 博通 6.98%; 美光科技 1.81%; Palantir Technologies Inc-A 1.59%; 超威半导体 1.58%; 应用材料 1.29%; 拉姆研究 1.27%
161128,易方达标普信息科技指数(QDII-LOF)A(人民币),指数型-海外股票,暂停申购；当前不可场外申购；数据日05-22,47.76%,47.76%,47.76%,8,英伟达 20.16%; 微软 13.08%; 博通 6.98%; 美光科技 1.81%; Palantir Technologies Inc-A 1.59%; 超威半导体 1.58%; 应用材料 1.29%; 拉姆研究 1.27%
022184,富国全球科技互联网股票(QDII)C,QDII-普通股票,限大额；起购10元；日累计500万；数据日05-22,43.51%,50.50%,50.50%,8,台积电 10.06%; 英伟达 9.80%; 谷歌-A 8.56%; 超威半导体 7.40%; SK海力士 4.11%; 英特尔 3.66%; 阿斯麦 3.58%; 三星电子 3.33%
026228,富国全球科技互联网股票(QDII)D,QDII-普通股票,限大额；起购1元；日累计0元；数据日05-22,43.51%,50.50%,50.50%,8,台积电 10.06%; 英伟达 9.80%; 谷歌-A 8.56%; 超威半导体 7.40%; SK海力士 4.11%; 英特尔 3.66%; 阿斯麦 3.58%; 三星电子 3.33%
100055,富国全球科技互联网股票(QDII)A,QDII-普通股票,限大额；起购10元；日累计500万；数据日05-22,43.51%,50.50%,50.50%,8,台积电 10.06%; 英伟达 9.80%; 谷歌-A 8.56%; 超威半导体 7.40%; SK海力士 4.11%; 英特尔 3.66%; 阿斯麦 3.58%; 三星电子 3.33%
016701,银华海外数字经济量化选股混合发起式(QDII)A,QDII-混合偏股,限大额；起购10元；日累计10万；数据日05-22,42.80%,42.80%,42.80%,8,英伟达 9.26%; 谷歌-A 8.06%; 亚马逊 5.62%; 博通 4.69%; 美光科技 3.92%; 台积电 3.90%; 超威半导体 3.71%; 微软 3.64%
016702,银华海外数字经济量化选股混合发起式(QDII)C,QDII-混合偏股,限大额；起购10元；日累计10万；数据日05-22,42.80%,42.80%,42.80%,8,英伟达 9.26%; 谷歌-A 8.06%; 亚马逊 5.62%; 博通 4.69%; 美光科技 3.92%; 台积电 3.90%; 超威半导体 3.71%; 微软 3.64%
159577,美国50ETF汇添富,指数型-海外股票,场内交易；场外申购限额不适用；数据日05-22,39.95%,39.95%,39.95%,7,英伟达 11.62%; 微软 7.17%; 亚马逊 5.50%; 谷歌-A 4.59%; 谷歌-C 3.83%; 博通 3.82%; Meta Platforms Inc-A 3.42%
001668,汇添富全球移动互联混合(QDII)人民币A,QDII-混合灵活,限大额；起购10元；日累计5000元；数据日05-22,39.86%,39.86%,39.86%,8,英伟达 8.96%; 谷歌-A 8.14%; 微软 5.00%; 亚马逊 4.84%; 博通 3.89%; Meta Platforms Inc-A 3.48%; 台积电 3.34%; 美光科技 2.21%
006426,汇添富全球移动互联混合(QDII)美元现汇,QDII-混合灵活,暂停申购；当前不可场外申购；数据日05-22,39.86%,39.86%,39.86%,8,英伟达 8.96%; 谷歌-A 8.14%; 微软 5.00%; 亚马逊 4.84%; 博通 3.89%; Meta Platforms Inc-A 3.48%; 台积电 3.34%; 美光科技 2.21%
015202,汇添富全球移动互联混合(QDII)人民币C,QDII-混合灵活,限大额；起购10元；日累计5000元；数据日05-22,39.86%,39.86%,39.86%,8,英伟达 8.96%; 谷歌-A 8.14%; 微软 5.00%; 亚马逊 4.84%; 博通 3.89%; Meta Platforms Inc-A 3.48%; 台积电 3.34%; 美光科技 2.21%
015203,汇添富全球移动互联混合(QDII)人民币D,QDII-混合灵活,限大额；起购1元；日累计0元；数据日05-22,39.86%,39.86%,39.86%,8,英伟达 8.96%; 谷歌-A 8.14%; 微软 5.00%; 亚马逊 4.84%; 博通 3.89%; Meta Platforms Inc-A 3.48%; 台积电 3.34%; 美光科技 2.21%
513850,美国50ETF易方达,指数型-海外股票,场内交易；场外申购限额不适用；数据日05-22,39.69%,39.69%,39.69%,7,英伟达 11.55%; 微软 7.12%; 亚马逊 5.46%; 谷歌-A 4.56%; 谷歌-C 3.80%; 博通 3.80%; Meta Platforms Inc-A 3.40%
000044,嘉实美国成长股票美元现汇,QDII-普通股票,暂停申购；当前不可场外申购；数据日05-22,38.80%,38.80%,38.80%,8,英伟达 9.97%; 谷歌-A 6.20%; 微软 6.17%; 博通 4.86%; 亚马逊 4.04%; 谷歌-C 2.90%; Meta Platforms Inc-A 2.84%; 台积电 1.82%
000043,嘉实美国成长股票人民币,QDII-普通股票,限大额；起购10元；日累计100元；数据日05-22,38.80%,38.80%,38.80%,8,英伟达 9.97%; 谷歌-A 6.20%; 微软 6.17%; 博通 4.86%; 亚马逊 4.04%; 谷歌-C 2.90%; Meta Platforms Inc-A 2.84%; 台积电 1.82%
006792,鹏华港美互联股票美元现汇,QDII-普通股票,限大额；起购0元；日累计0元；数据日05-22,37.66%,46.23%,57.50%,9,台积电 9.09%; 英伟达 9.05%; 闪迪 8.57%; 美光科技 7.49%; 腾讯控股 6.58%; 谷歌-A 5.69%; 阿里巴巴-W 4.69%; 博通 3.49%
160644,鹏华港美互联股票人民币,QDII-普通股票,限大额；起购10元；日累计1万；数据日05-22,37.66%,46.23%,57.50%,9,台积电 9.09%; 英伟达 9.05%; 闪迪 8.57%; 美光科技 7.49%; 腾讯控股 6.58%; 谷歌-A 5.69%; 阿里巴巴-W 4.69%; 博通 3.49%
018147,建信新兴市场混合(QDII)C,QDII-混合偏股,限大额；起购10元；日累计20元；数据日05-22,37.57%,57.11%,57.11%,8,台积电 10.26%; 英伟达 10.14%; SK海力士 8.65%; 博通 8.52%; 三星电子 6.76%; 闪迪 4.91%; 康宁 4.29%; Lumentum Holdings Inc 3.58%
539002,建信新兴市场混合(QDII)A,QDII-混合偏股,限大额；起购10元；日累计20元；数据日05-22,37.57%,57.11%,57.11%,8,台积电 10.26%; 英伟达 10.14%; SK海力士 8.65%; 博通 8.52%; 三星电子 6.76%; 闪迪 4.91%; 康宁 4.29%; Lumentum Holdings Inc 3.58%
006374,国富全球科技互联混合(QDII)美元现汇A,QDII-混合偏股,限大额；起购0元；日累计0元；数据日05-22,34.09%,44.04%,44.04%,7,美光科技 7.69%; 台积电 7.03%; 拉姆研究 7.02%; 康宁 6.79%; 谷歌-C 6.49%; 英伟达 5.86%; 英特尔 3.16%
006373,国富全球科技互联混合(QDII)人民币A,QDII-混合偏股,限大额；起购10元；日累计100元；数据日05-22,34.09%,44.04%,44.04%,7,美光科技 7.69%; 台积电 7.03%; 拉姆研究 7.02%; 康宁 6.79%; 谷歌-C 6.49%; 英伟达 5.86%; 英特尔 3.16%
021842,国富全球科技互联混合(QDII)人民币C,QDII-混合偏股,限大额；起购10元；日累计100元；数据日05-22,34.09%,44.04%,44.04%,7,美光科技 7.69%; 台积电 7.03%; 拉姆研究 7.02%; 康宁 6.79%; 谷歌-C 6.49%; 英伟达 5.86%; 英特尔 3.16%
021843,国富全球科技互联混合(QDII)美元现汇C,QDII-混合偏股,限大额；起购0元；日累计0元；数据日05-22,34.09%,44.04%,44.04%,7,美光科技 7.69%; 台积电 7.03%; 拉姆研究 7.02%; 康宁 6.79%; 谷歌-C 6.49%; 英伟达 5.86%; 英特尔 3.16%
017731,嘉实全球产业升级股票发起式(QDII)C,QDII-普通股票,限大额；起购10元；日累计100元；数据日05-22,32.24%,32.24%,32.24%,8,博通 5.37%; 美光科技 4.85%; 迈威尔科技 4.37%; 英伟达 3.79%; 阿斯麦 3.70%; 科磊 3.44%; 台积电 3.39%; 超威半导体 3.33%
017730,嘉实全球产业升级股票发起式(QDII)A,QDII-普通股票,限大额；起购10元；日累计100元；数据日05-22,32.24%,32.24%,32.24%,8,博通 5.37%; 美光科技 4.85%; 迈威尔科技 4.37%; 英伟达 3.79%; 阿斯麦 3.70%; 科磊 3.44%; 台积电 3.39%; 超威半导体 3.33%
159659,纳斯达克100ETF招商,指数型-海外股票,场内交易；场外申购限额不适用；数据日05-22,31.91%,31.91%,31.91%,7,英伟达 8.66%; 微软 5.62%; 亚马逊 4.57%; Meta Platforms Inc-A 3.45%; 谷歌-A 3.42%; 谷歌-C 3.19%; 博通 3.00%
118001,易方达亚洲精选股票,QDII-普通股票,限大额；起购10元；日累计500万；数据日05-22,31.29%,40.47%,56.37%,8,三星电子 9.18%; 腾讯控股 8.77%; 谷歌-A 8.41%; SK海力士 7.59%; 阿里巴巴-W 7.13%; 台积电 6.79%; 阿斯麦 5.19%; 台积电 3.31%
513300,纳斯达克ETF华夏,指数型-海外股票,场内交易；场外申购限额不适用；数据日05-22,31.20%,31.20%,31.20%,7,英伟达 8.47%; 微软 5.49%; 亚马逊 4.47%; Meta Platforms Inc-A 3.37%; 谷歌-A 3.35%; 谷歌-C 3.12%; 博通 2.93%
159660,纳指ETF汇添富,指数型-海外股票,场内交易；场外申购限额不适用；数据日05-22,30.61%,30.61%,30.61%,7,英伟达 8.31%; 微软 5.39%; 亚马逊 4.38%; Meta Platforms Inc-A 3.31%; 谷歌-A 3.28%; 谷歌-C 3.06%; 博通 2.88%
019173,摩根纳斯达克100指数(QDII)人民币C,指数型-海外股票,限大额；起购10元；日累计100元；数据日05-22,30.51%,30.51%,30.51%,7,英伟达 8.28%; 微软 5.37%; 亚马逊 4.37%; Meta Platforms Inc-A 3.30%; 谷歌-A 3.27%; 谷歌-C 3.05%; 博通 2.87%
019172,摩根纳斯达克100指数(QDII)人民币A,指数型-海外股票,限大额；起购10元；日累计100元；数据日05-22,30.51%,30.51%,30.51%,7,英伟达 8.28%; 微软 5.37%; 亚马逊 4.37%; Meta Platforms Inc-A 3.30%; 谷歌-A 3.27%; 谷歌-C 3.05%; 博通 2.87%
019174,摩根纳斯达克100指数(QDII)美元现汇A,指数型-海外股票,限大额；起购1元；日累计0元；数据日05-22,30.51%,30.51%,30.51%,7,英伟达 8.28%; 微软 5.37%; 亚马逊 4.37%; Meta Platforms Inc-A 3.30%; 谷歌-A 3.27%; 谷歌-C 3.05%; 博通 2.87%
019175,摩根纳斯达克100指数(QDII)美元现汇C,指数型-海外股票,限大额；起购1元；日累计0元；数据日05-22,30.51%,30.51%,30.51%,7,英伟达 8.28%; 微软 5.37%; 亚马逊 4.37%; Meta Platforms Inc-A 3.30%; 谷歌-A 3.27%; 谷歌-C 3.05%; 博通 2.87%
012751,建信纳斯达克100指数(QDII)A美元现汇,指数型-海外股票,限大额；起购100元；日累计0元；数据日05-22,30.47%,30.47%,30.47%,7,英伟达 8.29%; 微软 5.38%; 亚马逊 4.35%; Meta Platforms Inc-A 3.29%; 谷歌-A 3.27%; 谷歌-C 3.03%; 博通 2.86%
012753,建信纳斯达克100指数(QDII)C美元现汇,指数型-海外股票,限大额；起购100元；日累计0元；数据日05-22,30.47%,30.47%,30.47%,7,英伟达 8.29%; 微软 5.38%; 亚马逊 4.35%; Meta Platforms Inc-A 3.29%; 谷歌-A 3.27%; 谷歌-C 3.03%; 博通 2.86%
012752,建信纳斯达克100指数(QDII)C人民币,指数型-海外股票,限大额；起购10元；日累计100元；数据日05-22,30.47%,30.47%,30.47%,7,英伟达 8.29%; 微软 5.38%; 亚马逊 4.35%; Meta Platforms Inc-A 3.29%; 谷歌-A 3.27%; 谷歌-C 3.03%; 博通 2.86%
023422,建信纳斯达克100指数(QDII)D人民币,指数型-海外股票,限大额；起购10元；日累计100元；数据日05-22,30.47%,30.47%,30.47%,7,英伟达 8.29%; 微软 5.38%; 亚马逊 4.35%; Meta Platforms Inc-A 3.29%; 谷歌-A 3.27%; 谷歌-C 3.03%; 博通 2.86%
539001,建信纳斯达克100指数(QDII)A人民币,指数型-海外股票,限大额；起购10元；日累计100元；数据日05-22,30.47%,30.47%,30.47%,7,英伟达 8.29%; 微软 5.38%; 亚马逊 4.35%; Meta Platforms Inc-A 3.29%; 谷歌-A 3.27%; 谷歌-C 3.03%; 博通 2.86%
513110,纳指ETF华泰柏瑞,指数型-海外股票,场内交易；场外申购限额不适用；数据日05-22,30.40%,30.40%,30.40%,7,英伟达 8.25%; 微软 5.35%; 亚马逊 4.35%; Meta Platforms Inc-A 3.29%; 谷歌-A 3.26%; 谷歌-C 3.04%; 博通 2.86%
513390,纳指100ETF博时,指数型-海外股票,暂停申购；当前不可场外申购；数据日05-22,30.27%,30.27%,30.27%,7,英伟达 8.21%; 微软 5.33%; 亚马逊 4.34%; Meta Platforms Inc-A 3.27%; 谷歌-A 3.25%; 谷歌-C 3.02%; 博通 2.85%
019739,宝盈纳斯达克100指数发起(QDII)C美元现汇,指数型-海外股票,封闭期；当前不可场外申购,30.25%,30.25%,30.25%,7,英伟达 8.20%; 微软 5.32%; 亚马逊 4.33%; Meta Platforms Inc-A 3.28%; 谷歌-A 3.24%; 谷歌-C 3.03%; 博通 2.85%
019736,宝盈纳斯达克100指数发起(QDII)A人民币,指数型-海外股票,限大额；起购10元；日累计100元；数据日05-22,30.25%,30.25%,30.25%,7,英伟达 8.20%; 微软 5.32%; 亚马逊 4.33%; Meta Platforms Inc-A 3.28%; 谷歌-A 3.24%; 谷歌-C 3.03%; 博通 2.85%
019737,宝盈纳斯达克100指数发起(QDII)C人民币,指数型-海外股票,限大额；起购10元；日累计100元；数据日05-22,30.25%,30.25%,30.25%,7,英伟达 8.20%; 微软 5.32%; 亚马逊 4.33%; Meta Platforms Inc-A 3.28%; 谷歌-A 3.24%; 谷歌-C 3.03%; 博通 2.85%
019738,宝盈纳斯达克100指数发起(QDII)A美元现汇,指数型-海外股票,封闭期；当前不可场外申购,30.25%,30.25%,30.25%,7,英伟达 8.20%; 微软 5.32%; 亚马逊 4.33%; Meta Platforms Inc-A 3.28%; 谷歌-A 3.24%; 谷歌-C 3.03%; 博通 2.85%
009225,天弘中证中美互联网(QDII)A,指数型-海外股票,限大额；起购10元；日累计100元；数据日05-22,30.19%,30.19%,52.71%,7,亚马逊 10.30%; Meta Platforms Inc-A 9.63%; 腾讯控股 8.91%; 阿里巴巴-W 8.64%; 谷歌-A 5.67%; 小米集团-W 4.97%; 谷歌-C 4.59%
009226,天弘中证中美互联网(QDII)C,指数型-海外股票,限大额；起购10元；日累计100元；数据日05-22,30.19%,30.19%,52.71%,7,亚马逊 10.30%; Meta Platforms Inc-A 9.63%; 腾讯控股 8.91%; 阿里巴巴-W 8.64%; 谷歌-A 5.67%; 小米集团-W 4.97%; 谷歌-C 4.59%
019442,万家纳斯达克100指数发起式(QDII)C,指数型-海外股票,限大额；起购10元；日累计50元；数据日05-22,30.18%,30.18%,30.18%,7,英伟达 8.19%; 微软 5.31%; 亚马逊 4.32%; Meta Platforms Inc-A 3.26%; 谷歌-A 3.24%; 谷歌-C 3.02%; 博通 2.84%
019441,万家纳斯达克100指数发起式(QDII)A,指数型-海外股票,限大额；起购10元；日累计50元；数据日05-22,30.18%,30.18%,30.18%,7,英伟达 8.19%; 微软 5.31%; 亚马逊 4.32%; Meta Platforms Inc-A 3.26%; 谷歌-A 3.24%; 谷歌-C 3.02%; 博通 2.84%
159501,纳指ETF嘉实,指数型-海外股票,场内交易；场外申购限额不适用；数据日05-22,30.06%,30.06%,30.06%,7,英伟达 8.16%; 微软 5.29%; 亚马逊 4.31%; Meta Platforms Inc-A 3.25%; 谷歌-A 3.22%; 谷歌-C 3.00%; 博通 2.83%
159696,纳指ETF易方达,指数型-海外股票,场内交易；场外申购限额不适用；数据日05-22,29.60%,29.60%,29.60%,7,英伟达 8.04%; 微软 5.21%; 亚马逊 4.24%; Meta Platforms Inc-A 3.20%; 谷歌-A 3.17%; 谷歌-C 2.96%; 博通 2.78%
159632,纳斯达克ETF华安,指数型-海外股票,场内交易；场外申购限额不适用；数据日05-22,29.28%,29.28%,29.28%,7,英伟达 7.96%; 微软 5.17%; 亚马逊 4.18%; Meta Platforms Inc-A 3.16%; 谷歌-A 3.14%; 谷歌-C 2.92%; 博通 2.75%
513870,纳指ETF富国,指数型-海外股票,暂停申购；当前不可场外申购；数据日05-22,29.22%,29.22%,29.22%,7,英伟达 7.95%; 微软 5.16%; 亚马逊 4.17%; Meta Platforms Inc-A 3.15%; 谷歌-A 3.14%; 谷歌-C 2.91%; 博通 2.74%
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,限大额；起购10元；日累计0元；数据日05-22,29.20%,32.74%,32.74%,9,阿斯麦 5.21%; 谷歌-C 4.94%; 英伟达 4.47%; 亚马逊 4.02%; 拉姆研究 4.01%; 闪迪 3.54%; 博通 3.27%; 美光科技 3.26%
021277,广发全球精选股票(QDII)人民币C,QDII-普通股票,限大额；起购10元；日累计2000元；数据日05-22,29.20%,32.74%,32.74%,9,阿斯麦 5.21%; 谷歌-C 4.94%; 英伟达 4.47%; 亚马逊 4.02%; 拉姆研究 4.01%; 闪迪 3.54%; 博通 3.27%; 美光科技 3.26%
023402,广发全球精选股票(QDII)人民币F,QDII-普通股票,限大额；起购500元；日累计0元；数据日05-22,29.20%,32.74%,32.74%,9,阿斯麦 5.21%; 谷歌-C 4.94%; 英伟达 4.47%; 亚马逊 4.02%; 拉姆研究 4.01%; 闪迪 3.54%; 博通 3.27%; 美光科技 3.26%
270023,广发全球精选股票(QDII)人民币A,QDII-普通股票,限大额；起购10元；日累计2000元；数据日05-22,29.20%,32.74%,32.74%,9,阿斯麦 5.21%; 谷歌-C 4.94%; 英伟达 4.47%; 亚马逊 4.02%; 拉姆研究 4.01%; 闪迪 3.54%; 博通 3.27%; 美光科技 3.26%
513100,纳指ETF国泰,指数型-海外股票,暂停申购；当前不可场外申购；数据日05-22,29.03%,29.03%,29.03%,7,英伟达 7.88%; 微软 5.11%; 亚马逊 4.16%; Meta Platforms Inc-A 3.14%; 谷歌-A 3.11%; 谷歌-C 2.90%; 博通 2.73%
159941,纳指ETF广发,指数型-海外股票,场内交易；场外申购限额不适用；数据日05-22,28.94%,28.94%,28.94%,7,英伟达 7.88%; 微软 5.17%; 亚马逊 4.14%; Meta Platforms Inc-A 3.10%; 谷歌-A 3.08%; 谷歌-C 2.87%; 博通 2.70%
018044,天弘纳斯达克100指数发起(QDII)C,指数型-海外股票,限大额；起购10元；日累计100元；数据日05-22,28.53%,28.53%,28.53%,7,英伟达 7.75%; 微软 5.02%; 亚马逊 4.09%; Meta Platforms Inc-A 3.08%; 谷歌-A 3.06%; 谷歌-C 2.85%; 博通 2.68%
018043,天弘纳斯达克100指数发起(QDII)A,指数型-海外股票,限大额；起购10元；日累计100元；数据日05-22,28.53%,28.53%,28.53%,7,英伟达 7.75%; 微软 5.02%; 亚马逊 4.09%; Meta Platforms Inc-A 3.08%; 谷歌-A 3.06%; 谷歌-C 2.85%; 博通 2.68%
022525,天弘纳斯达克100指数发起(QDII)D,指数型-海外股票,限大额；起购0.1元；日累计0元；数据日05-22,28.53%,28.53%,28.53%,7,英伟达 7.75%; 微软 5.02%; 亚马逊 4.09%; Meta Platforms Inc-A 3.08%; 谷歌-A 3.06%; 谷歌-C 2.85%; 博通 2.68%
016452,南方纳斯达克100指数发起(QDII)A,指数型-海外股票,限大额；起购10元；日累计200元；数据日05-22,28.23%,28.23%,28.23%,7,英伟达 7.67%; 微软 4.97%; 亚马逊 4.04%; Meta Platforms Inc-A 3.05%; 谷歌-A 3.03%; 谷歌-C 2.82%; 博通 2.65%
016453,南方纳斯达克100指数发起(QDII)C,指数型-海外股票,限大额；起购10元；日累计200元；数据日05-22,28.23%,28.23%,28.23%,7,英伟达 7.67%; 微软 4.97%; 亚马逊 4.04%; Meta Platforms Inc-A 3.05%; 谷歌-A 3.03%; 谷歌-C 2.82%; 博通 2.65%
021000,南方纳斯达克100指数发起(QDII)I,指数型-海外股票,限大额；起购10元；日累计0元；数据日05-22,28.23%,28.23%,28.23%,7,英伟达 7.67%; 微软 4.97%; 亚马逊 4.04%; Meta Platforms Inc-A 3.05%; 谷歌-A 3.03%; 谷歌-C 2.82%; 博通 2.65%
008253,华宝致远混合(QDII)A,QDII-混合偏股,限大额；起购10元；日累计5000元；数据日05-22,27.64%,43.14%,43.14%,10,英伟达 7.79%; Lumentum Holdings Inc 7.07%; 闪迪 5.47%; 美光科技 4.53%; 博通 4.15%; 谷歌-C 3.96%; 台积电 3.89%; 康宁 2.96%
008254,华宝致远混合(QDII)C,QDII-混合偏股,限大额；起购10元；日累计5000元；数据日05-22,27.64%,43.14%,43.14%,10,英伟达 7.79%; Lumentum Holdings Inc 7.07%; 闪迪 5.47%; 美光科技 4.53%; 博通 4.15%; 谷歌-C 3.96%; 台积电 3.89%; 康宁 2.96%
011420,广发全球科技三个月定开混合(QDII)人民币A,QDII-混合偏股,开放申购；起购10元；日累计无限额；下一开放日2026-05-26；数据日05-22,26.06%,26.06%,30.09%,5,台积电 9.10%; 谷歌-C 7.49%; Meta Platforms Inc-A 6.07%; 腾讯控股 4.03%; 亚马逊 3.40%
011422,广发全球科技三个月定开混合(QDII)人民币C,QDII-混合偏股,开放申购；起购10元；日累计无限额；下一开放日2026-05-26；数据日05-22,26.06%,26.06%,30.09%,5,台积电 9.10%; 谷歌-C 7.49%; Meta Platforms Inc-A 6.07%; 腾讯控股 4.03%; 亚马逊 3.40%
011423,广发全球科技三个月定开混合(QDII)美元C,QDII-混合偏股,开放申购；起购1元；日累计0元；下一开放日2026-05-26；数据日05-22,26.06%,26.06%,30.09%,5,台积电 9.10%; 谷歌-C 7.49%; Meta Platforms Inc-A 6.07%; 腾讯控股 4.03%; 亚马逊 3.40%
011421,广发全球科技三个月定开混合(QDII)美元A,QDII-混合偏股,开放申购；起购1元；日累计0元；下一开放日2026-05-26；数据日05-22,26.06%,26.06%,30.09%,5,台积电 9.10%; 谷歌-C 7.49%; Meta Platforms Inc-A 6.07%; 腾讯控股 4.03%; 亚马逊 3.40%
160213,国泰纳斯达克100指数,指数型-海外股票,限大额；起购10元；日累计100元；数据日05-22,26.02%,26.02%,26.02%,7,英伟达 7.04%; 微软 4.58%; 亚马逊 3.73%; Meta Platforms Inc-A 2.82%; 谷歌-A 2.80%; 谷歌-C 2.61%; 博通 2.44%
159655,标普500ETF华夏,指数型-海外股票,场内交易；场外申购限额不适用；数据日05-22,26.01%,26.01%,26.01%,7,英伟达 7.47%; 微软 4.84%; 亚马逊 3.59%; 谷歌-A 2.95%; 博通 2.59%; 谷歌-C 2.36%; Meta Platforms Inc-A 2.21%
017641,摩根标普500指数(QDII)人民币A,指数型-海外股票,限大额；起购10元；日累计100元；数据日05-22,25.90%,25.90%,25.90%,7,英伟达 7.45%; 微软 4.84%; 亚马逊 3.56%; 谷歌-A 2.94%; 博通 2.57%; 谷歌-C 2.35%; Meta Platforms Inc-A 2.19%
017642,摩根标普500指数(QDII)美钞,指数型-海外股票,限大额；起购1元；日累计0元；数据日05-22,25.90%,25.90%,25.90%,7,英伟达 7.45%; 微软 4.84%; 亚马逊 3.56%; 谷歌-A 2.94%; 博通 2.57%; 谷歌-C 2.35%; Meta Platforms Inc-A 2.19%
017643,摩根标普500指数(QDII)美汇,指数型-海外股票,限大额；起购1元；日累计0元；数据日05-22,25.90%,25.90%,25.90%,7,英伟达 7.45%; 微软 4.84%; 亚马逊 3.56%; 谷歌-A 2.94%; 博通 2.57%; 谷歌-C 2.35%; Meta Platforms Inc-A 2.19%
019305,摩根标普500指数(QDII)人民币C,指数型-海外股票,限大额；起购10元；日累计100元；数据日05-22,25.90%,25.90%,25.90%,7,英伟达 7.45%; 微软 4.84%; 亚马逊 3.56%; 谷歌-A 2.94%; 博通 2.57%; 谷歌-C 2.35%; Meta Platforms Inc-A 2.19%
513650,标普500ETF南方,指数型-海外股票,场内交易；场外申购限额不适用；数据日05-22,25.73%,25.73%,25.73%,7,英伟达 7.39%; 微软 4.79%; 亚马逊 3.55%; 谷歌-A 2.92%; 博通 2.56%; 谷歌-C 2.34%; Meta Platforms Inc-A 2.18%
513500,标普500ETF博时,指数型-海外股票,暂停申购；当前不可场外申购；数据日05-22,25.69%,25.69%,25.69%,7,英伟达 7.37%; 微软 4.79%; 亚马逊 3.54%; 谷歌-A 2.92%; 博通 2.55%; 谷歌-C 2.34%; Meta Platforms Inc-A 2.18%
159513,纳斯达克100ETF大成,指数型-海外股票,场内交易；场外申购限额不适用；数据日05-22,25.63%,25.63%,25.63%,7,英伟达 6.97%; 微软 4.53%; 亚马逊 3.66%; Meta Platforms Inc-A 2.76%; 谷歌-A 2.75%; 谷歌-C 2.55%; 博通 2.41%
159612,标普500ETF国泰,指数型-海外股票,暂停申购；当前不可场外申购；数据日05-22,24.04%,24.04%,24.04%,7,英伟达 6.90%; 微软 4.48%; 亚马逊 3.31%; 谷歌-A 2.73%; 博通 2.39%; 谷歌-C 2.19%; Meta Platforms Inc-A 2.04%
017144,华宝海外新能源汽车股票发起式(QDII)A,QDII-普通股票,限大额；起购10元；日累计1万；数据日05-22,23.91%,23.91%,23.91%,3,博通 9.64%; 英伟达 9.46%; 迈威尔科技 4.81%
017145,华宝海外新能源汽车股票发起式(QDII)C,QDII-普通股票,限大额；起购10元；日累计1万；数据日05-22,23.91%,23.91%,23.91%,3,博通 9.64%; 英伟达 9.46%; 迈威尔科技 4.81%
