基金代码,基金名称,基金类型,限购额度情况,狭义海外AI占比,扩展海外AI占比,广义离岸AI占比,匹配持仓数,核心持仓摘要
021891,融通中证港股通科技指数A,指数型-股票,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,30.75%,4,腾讯控股 8.68%; 阿里巴巴-W 8.32%; 小米集团-W 8.00%; 中芯国际 5.75%
021918,永赢港股通品质生活慧选混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.60%,1,腾讯控股 4.60%
021938,华安半导体产业股票发起式C,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.89%,1,华虹半导体 3.89%
021937,华安半导体产业股票发起式A,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.89%,1,华虹半导体 3.89%
021982,安联中国精选混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.11%,1,金山云 3.11%
021981,安联中国精选混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.11%,1,金山云 3.11%
022017,华泰柏瑞集利债券C,债券型-混合二级,限大额；起购10元；日累计5万；数据日05-25,0.00%,0.00%,0.30%,1,中芯国际 0.30%
022016,华泰柏瑞集利债券A,债券型-混合二级,限大额；起购10元；日累计5万；数据日05-25,0.00%,0.00%,0.30%,1,中芯国际 0.30%
022039,兴银数字经济智选混合发起C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.09%,1,阿里巴巴-W 4.09%
022038,兴银数字经济智选混合发起A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.09%,1,阿里巴巴-W 4.09%
022044,招商安宁债券A,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,1.24%,1,阿里巴巴-W 1.24%
022045,招商安宁债券C,债券型-混合二级,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,1.24%,1,阿里巴巴-W 1.24%
022046,广发养老目标2060五年持有混合发起式(FOF)Y,FOF-进取型,开放申购；起购10元；日累计无限额；数据日05-21,0.00%,0.00%,1.53%,1,腾讯控股 1.53%
022122,国泰海通中证香港科技指数发起(QDII)C,指数型-海外股票,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,34.81%,5,腾讯控股 9.19%; 阿里巴巴-W 8.89%; 小米集团-W 8.57%; 中芯国际 4.33%; 百度集团-SW 3.83%
022124,国寿安保策略精选混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.45%,1,腾讯控股 8.45%
022121,国泰海通中证香港科技指数发起(QDII)A,指数型-海外股票,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,34.81%,5,腾讯控股 9.19%; 阿里巴巴-W 8.89%; 小米集团-W 8.57%; 中芯国际 4.33%; 百度集团-SW 3.83%
022168,富国洞见价值股票E,股票型,开放申购；起购1元；日累计0元；数据日05-25,0.00%,0.00%,4.79%,1,中芯国际 4.79%
022173,海富通沪港深混合C,混合型-灵活,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,10.60%,2,阿里巴巴-W 8.60%; 腾讯控股 2.00%
022174,海富通沪港深混合D,混合型-灵活,开放申购；起购500万；日累计无限额；数据日05-25,0.00%,0.00%,10.60%,2,阿里巴巴-W 8.60%; 腾讯控股 2.00%
022182,招商智星稳健配置混合(FOF-LOF)D,FOF-稳健型,开放申购；起购10元；日累计无限额；数据日05-22,0.00%,0.00%,0.31%,1,腾讯控股 0.31%
022204,永赢中证A50指数增强发起A,指数型-股票,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.76%,2,腾讯控股 2.04%; 中芯国际 1.72%
022205,永赢中证A50指数增强发起C,指数型-股票,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,3.76%,2,腾讯控股 2.04%; 中芯国际 1.72%
022223,泉果消费机遇混合发起式A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.80%,1,腾讯控股 4.80%
022334,广发产业甄选混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.17%,1,中芯国际 4.17%
022332,广发同远回报混合A,混合型-偏股,开放申购；起购1元；日累计0元；数据日05-25,0.00%,0.00%,3.10%,1,腾讯控股 3.10%
022333,广发同远回报混合C,混合型-偏股,开放申购；起购1元；日累计0元；数据日05-25,0.00%,0.00%,3.10%,1,腾讯控股 3.10%
022335,广发产业甄选混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.17%,1,中芯国际 4.17%
022358,民生加银龙头优选股票C,股票型,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,7.51%,1,腾讯控股 7.51%
022508,泉果消费机遇混合发起式C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,4.80%,1,腾讯控股 4.80%
022550,平安瑞利6个月持有混合A,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.51%,1,腾讯控股 0.51%
022551,平安瑞利6个月持有混合C,混合型-偏债,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,0.51%,1,腾讯控股 0.51%
022571,东方红景瑞精选混合C,混合型-偏债,开放申购；起购10元；日累计0元；数据日05-25,0.00%,0.00%,0.89%,1,腾讯控股 0.89%
022570,东方红景瑞精选混合A,混合型-偏债,开放申购；起购10元；日累计0元；数据日05-25,0.00%,0.00%,0.89%,1,腾讯控股 0.89%
022590,中信保诚幸福消费混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,8.53%,2,腾讯控股 4.82%; 阿里巴巴-W 3.71%
022673,平安产业竞争力混合A,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,6.99%,1,中芯国际 6.99%
022672,平安产业竞争力混合C,混合型-偏股,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,6.99%,1,中芯国际 6.99%
022674,中欧中证A500指数增强A,指数型-股票,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,2.04%,1,腾讯控股 2.04%
022682,平安盈弘6个月持有债券(FOF)A,FOF-稳健型,开放申购；起购10元；日累计无限额；数据日05-21,0.00%,0.00%,0.82%,4,中芯国际 0.25%; 阿里巴巴-W 0.21%; 腾讯控股 0.20%; 小米集团-W 0.16%
022675,中欧中证A500指数增强C,指数型-股票,开放申购；起购10元；日累计无限额；数据日05-25,0.00%,0.00%,2.04%,1,腾讯控股 2.04%
022683,平安盈弘6个月持有债券(FOF)C,FOF-稳健型,开放申购；起购10元；日累计无限额；数据日05-21,0.00%,0.00%,0.82%,4,中芯国际 0.25%; 阿里巴巴-W 0.21%; 腾讯控股 0.20%; 小米集团-W 0.16%
