基金代码,基金名称,基金类型,拼音缩写,拼音全称,是否QDII
021864,中欧中证800研究智选混合发起A,混合型-偏股,ZOZZ800YJZXHHFQA,ZHONGOUZHONGZHENG800YANJIUZHIXUANHUNHEFAQIA,
021865,中欧中证800研究智选混合发起C,混合型-偏股,ZOZZ800YJZXHHFQC,ZHONGOUZHONGZHENG800YANJIUZHIXUANHUNHEFAQIC,
021866,嘉实沪深300红利低波动ETF联接I,指数型-股票,JSHS300HLDBDETFLJI,JIASHIHUSHEN300HONGLIDIBODONGETFLIANJIEI,
021867,嘉实中证科创创业50ETF发起联接I,指数型-股票,JSZZKCCY50ETFFQLJI,JIASHIZHONGZHENGKECHUANGCHUANGYE50ETFFAQILIANJIEI,
021868,上银慧臻利率债债券C,债券型-长债,SYHZLLZZQC,SHANGYINHUIZHENLILVZHAIZHAIQUANC,
021869,上银慧鼎利债券C,债券型-长债,SYHDLZQC,SHANGYINHUIDINGLIZHAIQUANC,
021870,嘉实上证科创板芯片ETF发起联接I,指数型-股票,JSSZKCBXPETFFQLJI,JIASHISHANGZHENGKECHUANGBANXINPIANETFFAQILIANJIEI,
021871,兴业聚享6个月持有期混合C,混合型-偏债,XYJX6GYCYQHHC,XINGYEJUXIANG6GEYUECHIYOUQIHUNHEC,
021873,中欧黄金股指数A,指数型-股票,ZOHJGZSA,ZHONGOUHUANGJINGUZHISHUA,
021874,中欧黄金股指数C,指数型-股票,ZOHJGZSC,ZHONGOUHUANGJINGUZHISHUC,
021875,路博迈资源精选股票发起A,股票型,LBMZYJXGPFQA,LUBOMAIZIYUANJINGXUANGUPIAOFAQIA,
021876,路博迈资源精选股票发起C,股票型,LBMZYJXGPFQC,LUBOMAIZIYUANJINGXUANGUPIAOFAQIC,
021877,中欧沪深300指数发起A,指数型-股票,ZOHS300ZSFQA,ZHONGOUHUSHEN300ZHISHUFAQIA,
021878,中欧沪深300指数发起C,指数型-股票,ZOHS300ZSFQC,ZHONGOUHUSHEN300ZHISHUFAQIC,
021879,嘉实中证主要消费ETF发起联接I,指数型-股票,JSZZZYXFETFFQLJI,JIASHIZHONGZHENGZHUYAOXIAOFEIETFFAQILIANJIEI,
021880,嘉实中证医药健康100策略ETF联接I,指数型-股票,JSZZYYJK100CLETFLJI,JIASHIZHONGZHENGYIYAOJIANKANG100CELUEETFLIANJIEI,
021881,鑫元华证沪深港红利50指数A,指数型-股票,XYHZHSGHL50ZSA,XINYUANHUAZHENGHUSHENGANGHONGLI50ZHISHUA,
021882,鑫元华证沪深港红利50指数C,指数型-股票,XYHZHSGHL50ZSC,XINYUANHUAZHENGHUSHENGANGHONGLI50ZHISHUC,
021883,南方宝元债券E,债券型-混合二级,NFBYZQE,NANFANGBAOYUANZHAIQUANE,
021884,太平量化选股混合A,混合型-偏股,TPLHXGHHA,TAIPINGLIANGHUAXUANGUHUNHEA,
021885,太平量化选股混合C,混合型-偏股,TPLHXGHHC,TAIPINGLIANGHUAXUANGUHUNHEC,
021886,嘉实沪深300ETF联接(LOF)I,指数型-股票,JSHS300ETFLJLOFI,JIASHIHUSHEN300ETFLIANJIELOFI,
021887,嘉实中证500ETF联接I,指数型-股票,JSZZ500ETFLJI,JIASHIZHONGZHENG500ETFLIANJIEI,
