基金代码,基金名称,基金类型,证券代码,证券名称,标准名称,主题,占净值比例,持仓市值(万元),持股数(万股),原始重复行数
018147,建信新兴市场混合(QDII)C,QDII-混合偏股,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,3.58%,,3.37,1
018147,建信新兴市场混合(QDII)C,QDII-混合偏股,000660,SK海力士,SK海力士,存储,8.65%,,10.8,1
018147,建信新兴市场混合(QDII)C,QDII-混合偏股,005930,三星电子,三星电子,存储,6.76%,,40.74,1
018147,建信新兴市场混合(QDII)C,QDII-混合偏股,SNDK,闪迪,闪迪,存储,4.91%,,5.11,1
018147,建信新兴市场混合(QDII)C,QDII-混合偏股,TSM,台积电,台积电ADR,电芯片/核心半导体,10.26%,,20.04,1
018147,建信新兴市场混合(QDII)C,QDII-混合偏股,NVDA,英伟达,英伟达,电芯片/核心半导体,10.14%,,38.4,1
018147,建信新兴市场混合(QDII)C,QDII-混合偏股,AVGO,博通,博通,电芯片/核心半导体,8.52%,,18.17,1
018229,易方达全球优质企业混合(QDII)A(人民币份额),QDII-混合偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,6.31%,,128.6,1
018229,易方达全球优质企业混合(QDII)A(人民币份额),QDII-混合偏股,GLW,康宁,康宁,光芯片/光通信,4.46%,,15.6,1
018229,易方达全球优质企业混合(QDII)A(人民币份额),QDII-混合偏股,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,3.58%,,2.43,1
018229,易方达全球优质企业混合(QDII)A(人民币份额),QDII-混合偏股,TSM,台积电,台积电ADR,电芯片/核心半导体,3.18%,,4.48,1
018229,易方达全球优质企业混合(QDII)A(人民币份额),QDII-混合偏股,NVDA,英伟达,英伟达,电芯片/核心半导体,2.24%,,6.11,1
018230,易方达全球优质企业混合(QDII)C(人民币份额),QDII-混合偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,6.31%,,128.6,1
018230,易方达全球优质企业混合(QDII)C(人民币份额),QDII-混合偏股,GLW,康宁,康宁,光芯片/光通信,4.46%,,15.6,1
018230,易方达全球优质企业混合(QDII)C(人民币份额),QDII-混合偏股,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,3.58%,,2.43,1
018230,易方达全球优质企业混合(QDII)C(人民币份额),QDII-混合偏股,TSM,台积电,台积电ADR,电芯片/核心半导体,3.18%,,4.48,1
018230,易方达全球优质企业混合(QDII)C(人民币份额),QDII-混合偏股,NVDA,英伟达,英伟达,电芯片/核心半导体,2.24%,,6.11,1
018231,易方达全球优质企业混合(QDII)A(美元现汇份额),QDII-混合偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,6.31%,,128.6,1
018231,易方达全球优质企业混合(QDII)A(美元现汇份额),QDII-混合偏股,GLW,康宁,康宁,光芯片/光通信,4.46%,,15.6,1
018231,易方达全球优质企业混合(QDII)A(美元现汇份额),QDII-混合偏股,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,3.58%,,2.43,1
018231,易方达全球优质企业混合(QDII)A(美元现汇份额),QDII-混合偏股,TSM,台积电,台积电ADR,电芯片/核心半导体,3.18%,,4.48,1
018231,易方达全球优质企业混合(QDII)A(美元现汇份额),QDII-混合偏股,NVDA,英伟达,英伟达,电芯片/核心半导体,2.24%,,6.11,1
018232,易方达全球优质企业混合(QDII)C(美元现汇份额),QDII-混合偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,6.31%,,128.6,1
018232,易方达全球优质企业混合(QDII)C(美元现汇份额),QDII-混合偏股,GLW,康宁,康宁,光芯片/光通信,4.46%,,15.6,1
018232,易方达全球优质企业混合(QDII)C(美元现汇份额),QDII-混合偏股,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,3.58%,,2.43,1
018232,易方达全球优质企业混合(QDII)C(美元现汇份额),QDII-混合偏股,TSM,台积电,台积电ADR,电芯片/核心半导体,3.18%,,4.48,1
018232,易方达全球优质企业混合(QDII)C(美元现汇份额),QDII-混合偏股,NVDA,英伟达,英伟达,电芯片/核心半导体,2.24%,,6.11,1
018238,广发恒生中型股指数(LOF)E,指数型-股票,01347,华虹半导体,华虹半导体,电芯片/核心半导体,1.55%,75.42,1.1,1
018405,朱雀产业精选混合A,混合型-偏股,00981,中芯国际,中芯国际H,电芯片/核心半导体,8.72%,306.64,6.85,1
018406,朱雀产业精选混合C,混合型-偏股,00981,中芯国际,中芯国际H,电芯片/核心半导体,8.72%,306.64,6.85,1
018430,摩根世代趋势混合发起式A,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,5.70%,80.79,0.5,1
018431,摩根世代趋势混合发起式C,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,5.70%,80.79,0.5,1
018442,汇添富成长领航混合A,混合型-偏股,01347,华虹半导体,华虹半导体,电芯片/核心半导体,6.06%,2660.17,38.8,1
018443,汇添富成长领航混合C,混合型-偏股,01347,华虹半导体,华虹半导体,电芯片/核心半导体,6.06%,2660.17,38.8,1
018495,融通产业趋势臻选股票C,股票型,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,9.23%,35474.86,219.55,1
018506,创金合信益久9个月持有期债券A,债券型-混合二级,00981,中芯国际,中芯国际H,电芯片/核心半导体,0.37%,82.82,1.85,1
018507,创金合信益久9个月持有期债券C,债券型-混合二级,00981,中芯国际,中芯国际H,电芯片/核心半导体,0.37%,82.82,1.85,1
018508,创金合信益久9个月持有期债券E,债券型-混合二级,00981,中芯国际,中芯国际H,电芯片/核心半导体,0.37%,82.82,1.85,1
018554,交银启嘉混合A,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,2.44%,400.65,2.48,1
018554,交银启嘉混合A,混合型-偏股,01347,华虹半导体,华虹半导体,电芯片/核心半导体,2.09%,343.14,5.0,1
018555,交银启嘉混合C,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,2.44%,400.65,2.48,1
018555,交银启嘉混合C,混合型-偏股,01347,华虹半导体,华虹半导体,电芯片/核心半导体,2.09%,343.14,5.0,1
018626,富国兴享回报6个月持有期混合A,混合型-偏债,00981,中芯国际,中芯国际H,电芯片/核心半导体,0.24%,8.95,0.2,1
018627,富国兴享回报6个月持有期混合C,混合型-偏债,00981,中芯国际,中芯国际H,电芯片/核心半导体,0.24%,8.95,0.2,1
018736,景顺长城景颐裕利债券A,债券型-混合二级,00981,中芯国际,中芯国际H,电芯片/核心半导体,0.11%,1051.99,23.5,1
018737,景顺长城景颐裕利债券C,债券型-混合二级,00981,中芯国际,中芯国际H,电芯片/核心半导体,0.11%,1051.99,23.5,1
018870,银河产业动力混合C,混合型-偏股,01347,华虹半导体,华虹半导体,电芯片/核心半导体,5.44%,1455.46,21.23,1
018876,兴合先进制造混合发起式A,混合型-偏股,00981,中芯国际,中芯国际H,电芯片/核心半导体,3.57%,470.04,10.5,1
018877,兴合先进制造混合发起式C,混合型-偏股,00981,中芯国际,中芯国际H,电芯片/核心半导体,3.57%,470.04,10.5,1
018910,中欧科技成长混合A,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,5.01%,315.08,1.95,1
018910,中欧科技成长混合A,混合型-偏股,01415,高伟电子,高伟电子,光芯片/光通信,3.42%,215.17,9.4,1
018911,中欧科技成长混合C,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,5.01%,315.08,1.95,1
018911,中欧科技成长混合C,混合型-偏股,01415,高伟电子,高伟电子,光芯片/光通信,3.42%,215.17,9.4,1
018993,中欧数字经济混合发起A,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,4.95%,40968.61,253.55,1
018994,中欧数字经济混合发起C,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,4.95%,40968.61,253.55,1
019003,易方达科技智选混合A,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,4.19%,1284.56,7.95,1
019004,易方达科技智选混合C,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,4.19%,1284.56,7.95,1
019024,易方达信息行业精选股票C,股票型,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,2.68%,12910.23,79.9,1
019041,浦银安盛稳健富利180天持有债券A,债券型-混合二级,01347,华虹半导体,华虹半导体,电芯片/核心半导体,0.20%,68.56,1.0,1
019042,浦银安盛稳健富利180天持有债券C,债券型-混合二级,01347,华虹半导体,华虹半导体,电芯片/核心半导体,0.20%,68.56,1.0,1
019075,嘉实全球产业精选混合发起式(QDII)人民币,QDII-混合偏股,TSM,台积电,台积电ADR,电芯片/核心半导体,2.89%,,0.03,1
019075,嘉实全球产业精选混合发起式(QDII)人民币,QDII-混合偏股,00981,中芯国际,中芯国际H,电芯片/核心半导体,2.48%,,1.35,1
019076,嘉实全球产业精选混合发起式(QDII)美元,QDII-混合偏股,TSM,台积电,台积电ADR,电芯片/核心半导体,2.89%,,0.03,1
019076,嘉实全球产业精选混合发起式(QDII)美元,QDII-混合偏股,00981,中芯国际,中芯国际H,电芯片/核心半导体,2.48%,,1.35,1
019113,东财慧心优选混合发起式A,混合型-偏股,01347,华虹半导体,华虹半导体,电芯片/核心半导体,8.95%,150.83,2.2,1
019113,东财慧心优选混合发起式A,混合型-偏股,00981,中芯国际,中芯国际H,电芯片/核心半导体,7.70%,129.82,2.9,1
019114,东财慧心优选混合发起式C,混合型-偏股,01347,华虹半导体,华虹半导体,电芯片/核心半导体,8.95%,150.83,2.2,1
019114,东财慧心优选混合发起式C,混合型-偏股,00981,中芯国际,中芯国际H,电芯片/核心半导体,7.70%,129.82,2.9,1
019153,中欧锐意成长混合发起A,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,5.15%,64.63,0.4,1
019154,中欧锐意成长混合发起C,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,5.15%,64.63,0.4,1
019155,易方达全球配置混合(QDII)A(人民币),QDII-混合灵活,AXTI,AXT Inc,AXT Inc,AXTI,3.51%,,4.62,1
019155,易方达全球配置混合(QDII)A(人民币),QDII-混合灵活,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,5.67%,,0.6,1
019155,易方达全球配置混合(QDII)A(人民币),QDII-混合灵活,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,4.57%,,14.65,1
019155,易方达全球配置混合(QDII)A(人民币),QDII-混合灵活,GLW,康宁,康宁,光芯片/光通信,3.16%,,1.74,1
019155,易方达全球配置混合(QDII)A(人民币),QDII-混合灵活,MU,美光科技,美光科技,存储,3.08%,,0.68,1
019156,易方达全球配置混合(QDII)C(人民币),QDII-混合灵活,AXTI,AXT Inc,AXT Inc,AXTI,3.51%,,4.62,1
019156,易方达全球配置混合(QDII)C(人民币),QDII-混合灵活,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,5.67%,,0.6,1
019156,易方达全球配置混合(QDII)C(人民币),QDII-混合灵活,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,4.57%,,14.65,1
019156,易方达全球配置混合(QDII)C(人民币),QDII-混合灵活,GLW,康宁,康宁,光芯片/光通信,3.16%,,1.74,1
019156,易方达全球配置混合(QDII)C(人民币),QDII-混合灵活,MU,美光科技,美光科技,存储,3.08%,,0.68,1
019157,易方达全球配置混合(QDII)A(美元现汇),QDII-混合灵活,AXTI,AXT Inc,AXT Inc,AXTI,3.51%,,4.62,1
019157,易方达全球配置混合(QDII)A(美元现汇),QDII-混合灵活,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,5.67%,,0.6,1
019157,易方达全球配置混合(QDII)A(美元现汇),QDII-混合灵活,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,4.57%,,14.65,1
019157,易方达全球配置混合(QDII)A(美元现汇),QDII-混合灵活,GLW,康宁,康宁,光芯片/光通信,3.16%,,1.74,1
019157,易方达全球配置混合(QDII)A(美元现汇),QDII-混合灵活,MU,美光科技,美光科技,存储,3.08%,,0.68,1
019158,易方达全球配置混合(QDII)C(美元现汇),QDII-混合灵活,AXTI,AXT Inc,AXT Inc,AXTI,3.51%,,4.62,1
019158,易方达全球配置混合(QDII)C(美元现汇),QDII-混合灵活,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,5.67%,,0.6,1
019158,易方达全球配置混合(QDII)C(美元现汇),QDII-混合灵活,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,4.57%,,14.65,1
019158,易方达全球配置混合(QDII)C(美元现汇),QDII-混合灵活,GLW,康宁,康宁,光芯片/光通信,3.16%,,1.74,1
019158,易方达全球配置混合(QDII)C(美元现汇),QDII-混合灵活,MU,美光科技,美光科技,存储,3.08%,,0.68,1
019159,中欧产业领航混合A,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,6.33%,145.42,0.9,1
019160,中欧产业领航混合C,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,6.33%,145.42,0.9,1
019172,摩根纳斯达克100指数(QDII)人民币A,指数型-海外股票,NVDA,英伟达,英伟达,电芯片/核心半导体,8.28%,,21.25,1
019172,摩根纳斯达克100指数(QDII)人民币A,指数型-海外股票,AVGO,博通,博通,电芯片/核心半导体,2.87%,,4.15,1
019173,摩根纳斯达克100指数(QDII)人民币C,指数型-海外股票,NVDA,英伟达,英伟达,电芯片/核心半导体,8.28%,,21.25,1
019173,摩根纳斯达克100指数(QDII)人民币C,指数型-海外股票,AVGO,博通,博通,电芯片/核心半导体,2.87%,,4.15,1
019174,摩根纳斯达克100指数(QDII)美元现汇A,指数型-海外股票,NVDA,英伟达,英伟达,电芯片/核心半导体,8.28%,,21.25,1
019174,摩根纳斯达克100指数(QDII)美元现汇A,指数型-海外股票,AVGO,博通,博通,电芯片/核心半导体,2.87%,,4.15,1
019175,摩根纳斯达克100指数(QDII)美元现汇C,指数型-海外股票,NVDA,英伟达,英伟达,电芯片/核心半导体,8.28%,,21.25,1
019175,摩根纳斯达克100指数(QDII)美元现汇C,指数型-海外股票,AVGO,博通,博通,电芯片/核心半导体,2.87%,,4.15,1
019189,华商品质价值混合A,混合型-偏股,00981,中芯国际,中芯国际H,电芯片/核心半导体,2.73%,4559.37,101.85,1
019190,华商品质价值混合C,混合型-偏股,00981,中芯国际,中芯国际H,电芯片/核心半导体,2.73%,4559.37,101.85,1
019265,南方港股数字经济混合发起(QDII)A,QDII-混合偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,4.83%,,2.4,1
019266,南方港股数字经济混合发起(QDII)C,QDII-混合偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,4.83%,,2.4,1
019305,摩根标普500指数(QDII)人民币C,指数型-海外股票,NVDA,英伟达,英伟达,电芯片/核心半导体,7.45%,,31.37,1
019305,摩根标普500指数(QDII)人民币C,指数型-海外股票,AVGO,博通,博通,电芯片/核心半导体,2.57%,,6.1,1
019387,中欧时代共赢混合发起A1,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,6.73%,581.69,3.6,1
019388,中欧时代共赢混合发起A2,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,6.73%,581.69,3.6,1
019389,中欧时代共赢混合发起A3,混合型-偏股,06869,长飞光纤光缆,长飞光纤光缆,光芯片/光通信,6.73%,581.69,3.6,1
019390,光大研究精选混合C,混合型-偏股,00981,中芯国际,中芯国际H,电芯片/核心半导体,2.15%,134.3,3.0,1
019426,中银数字经济混合A,混合型-偏股,01347,华虹半导体,华虹半导体,电芯片/核心半导体,3.99%,363.37,5.3,1
019427,中银数字经济混合C,混合型-偏股,01347,华虹半导体,华虹半导体,电芯片/核心半导体,3.99%,363.37,5.3,1
019441,万家纳斯达克100指数发起式(QDII)A,指数型-海外股票,NVDA,英伟达,英伟达,电芯片/核心半导体,8.19%,,4.38,1
019441,万家纳斯达克100指数发起式(QDII)A,指数型-海外股票,AVGO,博通,博通,电芯片/核心半导体,2.84%,,0.85,1
019442,万家纳斯达克100指数发起式(QDII)C,指数型-海外股票,NVDA,英伟达,英伟达,电芯片/核心半导体,8.19%,,4.38,1
019442,万家纳斯达克100指数发起式(QDII)C,指数型-海外股票,AVGO,博通,博通,电芯片/核心半导体,2.84%,,0.85,1
019447,华夏全球科技先锋混合(QDII)A(美元现汇),QDII-混合偏股,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,4.72%,,4.56,1
019447,华夏全球科技先锋混合(QDII)A(美元现汇),QDII-混合偏股,COHR,Coherent Corp,Coherent,光芯片/光通信,4.59%,,13.08,1
019447,华夏全球科技先锋混合(QDII)A(美元现汇),QDII-混合偏股,GLW,康宁,康宁,光芯片/光通信,4.15%,,20.71,1
019447,华夏全球科技先锋混合(QDII)A(美元现汇),QDII-混合偏股,SNDK,闪迪,闪迪,存储,2.66%,,2.84,1
019447,华夏全球科技先锋混合(QDII)A(美元现汇),QDII-混合偏股,MU,美光科技,美光科技,存储,2.30%,,4.61,1
019447,华夏全球科技先锋混合(QDII)A(美元现汇),QDII-混合偏股,TSM,台积电,台积电ADR,电芯片/核心半导体,4.87%,,9.77,1
019448,华夏全球科技先锋混合(QDII)A(美元现钞),QDII-混合偏股,LITE,Lumentum Holdings Inc,Lumentum,光芯片/光通信,4.72%,,4.56,1
019448,华夏全球科技先锋混合(QDII)A(美元现钞),QDII-混合偏股,COHR,Coherent Corp,Coherent,光芯片/光通信,4.59%,,13.08,1
019448,华夏全球科技先锋混合(QDII)A(美元现钞),QDII-混合偏股,GLW,康宁,康宁,光芯片/光通信,4.15%,,20.71,1
