基金代码,基金名称,基金类型,AXTI占比,存储占比,光芯片/光通信占比,电芯片/核心半导体占比,合计占比,匹配持仓数,核心持仓摘要
159995,芯片ETF华夏,指数型-股票,0.00%,23.87%,0.00%,51.58%,75.45%,14,海光信息(电芯片/核心半导体) 10.09%; 北方华创(电芯片/核心半导体) 9.12%; 中芯国际(电芯片/核心半导体) 8.50%; 兆易创新(存储) 8.00%; 寒武纪(电芯片/核心半导体) 7.34%; 中微公司(电芯片/核心半导体) 7.33%; 澜起科技(存储) 7.29%; 豪威集团(电芯片/核心半导体) 4.20%; 芯原股份(电芯片/核心半导体) 3.55%; 长电科技(存储) 2.96%
014143,银河创新成长混合C,混合型-偏股,0.00%,23.80%,0.00%,49.68%,73.48%,9,中微公司(电芯片/核心半导体) 9.65%; 寒武纪(电芯片/核心半导体) 9.33%; 海光信息(电芯片/核心半导体) 8.91%; 中芯国际(电芯片/核心半导体) 8.84%; 兆易创新(存储) 8.60%; 澜起科技(存储) 8.51%; 北方华创(电芯片/核心半导体) 7.72%; 长电科技(存储) 6.69%; 复旦微电(电芯片/核心半导体) 5.23%
519674,银河创新成长混合A,混合型-偏股,0.00%,23.80%,0.00%,49.68%,73.48%,9,中微公司(电芯片/核心半导体) 9.65%; 寒武纪(电芯片/核心半导体) 9.33%; 海光信息(电芯片/核心半导体) 8.91%; 中芯国际(电芯片/核心半导体) 8.84%; 兆易创新(存储) 8.60%; 澜起科技(存储) 8.51%; 北方华创(电芯片/核心半导体) 7.72%; 长电科技(存储) 6.69%; 复旦微电(电芯片/核心半导体) 5.23%
588200,科创芯片ETF嘉实,指数型-股票,0.00%,15.55%,4.74%,48.91%,69.20%,20,中芯国际(电芯片/核心半导体) 9.80%; 海光信息(电芯片/核心半导体) 9.66%; 寒武纪(电芯片/核心半导体) 9.56%; 澜起科技(存储) 7.80%; 中微公司(电芯片/核心半导体) 7.30%; 芯原股份(电芯片/核心半导体) 4.05%; 佰维存储(存储) 3.77%; 源杰科技(光芯片/光通信) 3.29%; 东芯股份(存储) 1.83%; 仕佳光子(光芯片/光通信) 1.45%
159801,芯片ETF广发,指数型-股票,0.00%,15.22%,0.00%,50.03%,65.25%,9,海光信息(电芯片/核心半导体) 10.04%; 北方华创(电芯片/核心半导体) 9.09%; 中芯国际(电芯片/核心半导体) 8.47%; 兆易创新(存储) 7.96%; 寒武纪(电芯片/核心半导体) 7.33%; 中微公司(电芯片/核心半导体) 7.32%; 澜起科技(存储) 7.26%; 豪威集团(电芯片/核心半导体) 4.19%; 芯原股份(电芯片/核心半导体) 3.59%
017744,嘉实绿色主题股票发起式A,股票型,0.00%,32.07%,0.00%,33.03%,65.10%,9,兆易创新(存储) 9.01%; 普冉股份(存储) 8.27%; 北京君正(存储) 7.88%; 芯原股份(电芯片/核心半导体) 7.87%; 海光信息(电芯片/核心半导体) 7.19%; 澜起科技(存储) 6.91%; 寒武纪(电芯片/核心半导体) 6.64%; 思瑞浦(电芯片/核心半导体) 5.91%; 圣邦股份(电芯片/核心半导体) 5.42%
017745,嘉实绿色主题股票发起式C,股票型,0.00%,32.07%,0.00%,33.03%,65.10%,9,兆易创新(存储) 9.01%; 普冉股份(存储) 8.27%; 北京君正(存储) 7.88%; 芯原股份(电芯片/核心半导体) 7.87%; 海光信息(电芯片/核心半导体) 7.19%; 澜起科技(存储) 6.91%; 寒武纪(电芯片/核心半导体) 6.64%; 思瑞浦(电芯片/核心半导体) 5.91%; 圣邦股份(电芯片/核心半导体) 5.42%
159813,半导体ETF鹏华,指数型-股票,0.00%,15.12%,0.00%,49.74%,64.86%,9,海光信息(电芯片/核心半导体) 9.99%; 北方华创(电芯片/核心半导体) 9.03%; 中芯国际(电芯片/核心半导体) 8.41%; 兆易创新(存储) 7.90%; 寒武纪(电芯片/核心半导体) 7.31%; 中微公司(电芯片/核心半导体) 7.25%; 澜起科技(存储) 7.22%; 豪威集团(电芯片/核心半导体) 4.17%; 芯原股份(电芯片/核心半导体) 3.58%
159665,半导体龙头ETF工银,指数型-股票,0.00%,15.08%,0.00%,49.43%,64.51%,9,海光信息(电芯片/核心半导体) 9.95%; 北方华创(电芯片/核心半导体) 8.99%; 中芯国际(电芯片/核心半导体) 8.38%; 兆易创新(存储) 7.89%; 中微公司(电芯片/核心半导体) 7.25%; 澜起科技(存储) 7.19%; 寒武纪(电芯片/核心半导体) 7.16%; 豪威集团(电芯片/核心半导体) 4.14%; 芯原股份(电芯片/核心半导体) 3.56%
513310,中韩半导体ETF华泰柏瑞,指数型-海外股票,0.00%,41.75%,0.00%,22.43%,64.18%,9,三星电子(存储) 18.84%; SK海力士(存储) 15.53%; 寒武纪(电芯片/核心半导体) 5.06%; 海光信息(电芯片/核心半导体) 4.77%; 北方华创(电芯片/核心半导体) 4.73%; 中芯国际(电芯片/核心半导体) 4.59%; 兆易创新(存储) 3.88%; 澜起科技(存储) 3.50%; 中微公司(电芯片/核心半导体) 3.28%
015688,九泰泰富灵活配置混合(LOF)C,混合型-灵活,0.00%,15.33%,7.82%,40.16%,63.31%,8,北方华创(电芯片/核心半导体) 10.13%; 中微公司(电芯片/核心半导体) 8.17%; 海光信息(电芯片/核心半导体) 8.08%; 中芯国际(电芯片/核心半导体) 8.07%; 兆易创新(存储) 7.85%; 中际旭创(光芯片/光通信) 7.82%; 澜起科技(存储) 7.48%; 圣邦股份(电芯片/核心半导体) 5.71%
168105,九泰泰富灵活配置混合(LOF)A,混合型-灵活,0.00%,15.33%,7.82%,40.16%,63.31%,8,北方华创(电芯片/核心半导体) 10.13%; 中微公司(电芯片/核心半导体) 8.17%; 海光信息(电芯片/核心半导体) 8.08%; 中芯国际(电芯片/核心半导体) 8.07%; 兆易创新(存储) 7.85%; 中际旭创(光芯片/光通信) 7.82%; 澜起科技(存储) 7.48%; 圣邦股份(电芯片/核心半导体) 5.71%
009365,工银科技创新6个月定开混合C,混合型-偏股,0.00%,0.00%,59.47%,0.00%,59.47%,7,德科立(光芯片/光通信) 10.02%; 天孚通信(光芯片/光通信) 9.67%; 源杰科技(光芯片/光通信) 9.49%; 中际旭创(光芯片/光通信) 9.21%; 新易盛(光芯片/光通信) 9.08%; 太辰光(光芯片/光通信) 8.06%; 长芯博创(光芯片/光通信) 3.94%
009364,工银科技创新6个月定开混合A,混合型-偏股,0.00%,0.00%,59.47%,0.00%,59.47%,7,德科立(光芯片/光通信) 10.02%; 天孚通信(光芯片/光通信) 9.67%; 源杰科技(光芯片/光通信) 9.49%; 中际旭创(光芯片/光通信) 9.21%; 新易盛(光芯片/光通信) 9.08%; 太辰光(光芯片/光通信) 8.06%; 长芯博创(光芯片/光通信) 3.94%
159325,半导体ETF南方,指数型-股票,0.00%,15.65%,0.00%,43.66%,59.31%,9,寒武纪(电芯片/核心半导体) 9.06%; 海光信息(电芯片/核心半导体) 8.55%; 北方华创(电芯片/核心半导体) 8.44%; 中芯国际(电芯片/核心半导体) 8.23%; 兆易创新(存储) 6.94%; 澜起科技(存储) 6.28%; 中微公司(电芯片/核心半导体) 5.87%; 豪威集团(电芯片/核心半导体) 3.51%; 长电科技(存储) 2.43%
026383,中航洞见领航混合C,混合型-偏股,0.00%,7.54%,0.00%,50.51%,58.05%,7,芯原股份(电芯片/核心半导体) 9.39%; 寒武纪(电芯片/核心半导体) 9.32%; 中芯国际(电芯片/核心半导体) 9.13%; 北方华创(电芯片/核心半导体) 8.43%; 兆易创新(存储) 7.54%; 海光信息(电芯片/核心半导体) 7.48%; 中微公司(电芯片/核心半导体) 6.76%
026382,中航洞见领航混合A,混合型-偏股,0.00%,7.54%,0.00%,50.51%,58.05%,7,芯原股份(电芯片/核心半导体) 9.39%; 寒武纪(电芯片/核心半导体) 9.32%; 中芯国际(电芯片/核心半导体) 9.13%; 北方华创(电芯片/核心半导体) 8.43%; 兆易创新(存储) 7.54%; 海光信息(电芯片/核心半导体) 7.48%; 中微公司(电芯片/核心半导体) 6.76%
001956,国联安科技动力,股票型,0.00%,0.00%,57.87%,0.00%,57.87%,8,新易盛(光芯片/光通信) 9.06%; 中际旭创(光芯片/光通信) 9.06%; 源杰科技(光芯片/光通信) 9.03%; 天孚通信(光芯片/光通信) 6.91%; 长光华芯(光芯片/光通信) 6.67%; 德科立(光芯片/光通信) 6.08%; 长芯博创(光芯片/光通信) 5.59%; 光库科技(光芯片/光通信) 5.47%
001305,九泰天富改革混合A,混合型-灵活,0.00%,15.88%,7.80%,34.12%,57.80%,7,北方华创(电芯片/核心半导体) 9.98%; 中微公司(电芯片/核心半导体) 8.15%; 中芯国际(电芯片/核心半导体) 8.10%; 澜起科技(存储) 8.04%; 海光信息(电芯片/核心半导体) 7.89%; 兆易创新(存储) 7.84%; 中际旭创(光芯片/光通信) 7.80%
009912,九泰天富改革混合C,混合型-灵活,0.00%,15.88%,7.80%,34.12%,57.80%,7,北方华创(电芯片/核心半导体) 9.98%; 中微公司(电芯片/核心半导体) 8.15%; 中芯国际(电芯片/核心半导体) 8.10%; 澜起科技(存储) 8.04%; 海光信息(电芯片/核心半导体) 7.89%; 兆易创新(存储) 7.84%; 中际旭创(光芯片/光通信) 7.80%
018147,建信新兴市场混合(QDII)C,QDII-混合偏股,0.00%,20.32%,7.87%,28.92%,57.11%,8,台积电(电芯片/核心半导体) 10.26%; 英伟达(电芯片/核心半导体) 10.14%; SK海力士(存储) 8.65%; 博通(电芯片/核心半导体) 8.52%; 三星电子(存储) 6.76%; 闪迪(存储) 4.91%; 康宁(光芯片/光通信) 4.29%; Lumentum Holdings Inc(光芯片/光通信) 3.58%
539002,建信新兴市场混合(QDII)A,QDII-混合偏股,0.00%,20.32%,7.87%,28.92%,57.11%,8,台积电(电芯片/核心半导体) 10.26%; 英伟达(电芯片/核心半导体) 10.14%; SK海力士(存储) 8.65%; 博通(电芯片/核心半导体) 8.52%; 三星电子(存储) 6.76%; 闪迪(存储) 4.91%; 康宁(光芯片/光通信) 4.29%; Lumentum Holdings Inc(光芯片/光通信) 3.58%
014193,汇添富中证芯片产业指数增强发起式A,指数型-股票,0.00%,14.85%,0.00%,41.52%,56.37%,9,海光信息(电芯片/核心半导体) 8.86%; 中微公司(电芯片/核心半导体) 8.75%; 芯原股份(电芯片/核心半导体) 8.11%; 北方华创(电芯片/核心半导体) 8.07%; 兆易创新(存储) 7.94%; 澜起科技(存储) 6.67%; 寒武纪(电芯片/核心半导体) 5.75%; 中芯国际(电芯片/核心半导体) 1.98%; 普冉股份(存储) 0.24%
014194,汇添富中证芯片产业指数增强发起式C,指数型-股票,0.00%,14.85%,0.00%,41.52%,56.37%,9,海光信息(电芯片/核心半导体) 8.86%; 中微公司(电芯片/核心半导体) 8.75%; 芯原股份(电芯片/核心半导体) 8.11%; 北方华创(电芯片/核心半导体) 8.07%; 兆易创新(存储) 7.94%; 澜起科技(存储) 6.67%; 寒武纪(电芯片/核心半导体) 5.75%; 中芯国际(电芯片/核心半导体) 1.98%; 普冉股份(存储) 0.24%
001613,长城久祥混合A,混合型-灵活,0.00%,0.00%,56.15%,0.00%,56.15%,8,中际旭创(光芯片/光通信) 8.89%; 天孚通信(光芯片/光通信) 8.83%; 新易盛(光芯片/光通信) 8.35%; 源杰科技(光芯片/光通信) 8.08%; 长芯博创(光芯片/光通信) 6.65%; 长光华芯(光芯片/光通信) 5.32%; 德科立(光芯片/光通信) 5.09%; 光库科技(光芯片/光通信) 4.94%
017462,长城久祥混合C,混合型-灵活,0.00%,0.00%,56.15%,0.00%,56.15%,8,中际旭创(光芯片/光通信) 8.89%; 天孚通信(光芯片/光通信) 8.83%; 新易盛(光芯片/光通信) 8.35%; 源杰科技(光芯片/光通信) 8.08%; 长芯博创(光芯片/光通信) 6.65%; 长光华芯(光芯片/光通信) 5.32%; 德科立(光芯片/光通信) 5.09%; 光库科技(光芯片/光通信) 4.94%
588000,科创50ETF华夏,指数型-股票,0.00%,11.26%,0.00%,44.88%,56.14%,15,寒武纪(电芯片/核心半导体) 9.36%; 海光信息(电芯片/核心半导体) 8.83%; 中芯国际(电芯片/核心半导体) 8.49%; 澜起科技(存储) 6.48%; 中微公司(电芯片/核心半导体) 6.04%; 芯原股份(电芯片/核心半导体) 3.69%; 佰维存储(存储) 3.44%; 华海清科(电芯片/核心半导体) 2.17%; 晶晨股份(电芯片/核心半导体) 1.35%; 晶合集成(存储) 1.34%
516640,芯片ETF富国,指数型-股票,0.00%,14.64%,0.00%,41.35%,55.99%,10,海光信息(电芯片/核心半导体) 7.69%; 北方华创(电芯片/核心半导体) 7.60%; 中芯国际(电芯片/核心半导体) 7.41%; 寒武纪(电芯片/核心半导体) 7.27%; 兆易创新(存储) 6.25%; 澜起科技(存储) 5.65%; 中微公司(电芯片/核心半导体) 5.27%; 豪威集团(电芯片/核心半导体) 3.17%; 芯原股份(电芯片/核心半导体) 2.94%; 佰维存储(存储) 2.74%
010115,易方达远见成长混合A,混合型-偏股,0.00%,4.00%,51.94%,0.00%,55.94%,7,长芯博创(光芯片/光通信) 9.87%; 新易盛(光芯片/光通信) 9.86%; 长飞光纤光缆(光芯片/光通信) 9.82%; 中际旭创(光芯片/光通信) 9.63%; 源杰科技(光芯片/光通信) 9.08%; 澜起科技(存储) 4.00%; 天孚通信(光芯片/光通信) 3.68%
011412,易方达远见成长混合C,混合型-偏股,0.00%,4.00%,51.94%,0.00%,55.94%,7,长芯博创(光芯片/光通信) 9.87%; 新易盛(光芯片/光通信) 9.86%; 长飞光纤光缆(光芯片/光通信) 9.82%; 中际旭创(光芯片/光通信) 9.63%; 源杰科技(光芯片/光通信) 9.08%; 澜起科技(存储) 4.00%; 天孚通信(光芯片/光通信) 3.68%
516350,芯片ETF易方达,指数型-股票,0.00%,14.61%,0.00%,41.23%,55.84%,10,海光信息(电芯片/核心半导体) 7.69%; 北方华创(电芯片/核心半导体) 7.61%; 中芯国际(电芯片/核心半导体) 7.39%; 寒武纪(电芯片/核心半导体) 7.17%; 兆易创新(存储) 6.25%; 澜起科技(存储) 5.64%; 中微公司(电芯片/核心半导体) 5.28%; 豪威集团(电芯片/核心半导体) 3.16%; 芯原股份(电芯片/核心半导体) 2.93%; 佰维存储(存储) 2.72%
589160,科创芯片ETF广发,指数型-股票,0.00%,11.52%,3.29%,41.03%,55.84%,9,中芯国际(电芯片/核心半导体) 9.77%; 海光信息(电芯片/核心半导体) 9.63%; 寒武纪(电芯片/核心半导体) 9.54%; 澜起科技(存储) 7.77%; 中微公司(电芯片/核心半导体) 7.28%; 芯原股份(电芯片/核心半导体) 4.03%; 佰维存储(存储) 3.75%; 源杰科技(光芯片/光通信) 3.29%; 华海清科(电芯片/核心半导体) 0.78%
159599,芯片ETF东财,指数型-股票,0.00%,14.62%,0.00%,41.21%,55.83%,10,海光信息(电芯片/核心半导体) 7.68%; 北方华创(电芯片/核心半导体) 7.60%; 中芯国际(电芯片/核心半导体) 7.39%; 寒武纪(电芯片/核心半导体) 7.17%; 兆易创新(存储) 6.26%; 澜起科技(存储) 5.64%; 中微公司(电芯片/核心半导体) 5.28%; 豪威集团(电芯片/核心半导体) 3.16%; 芯原股份(电芯片/核心半导体) 2.93%; 佰维存储(存储) 2.72%
159310,芯片ETF天弘,指数型-股票,0.00%,14.61%,0.00%,41.20%,55.81%,10,海光信息(电芯片/核心半导体) 7.68%; 北方华创(电芯片/核心半导体) 7.60%; 中芯国际(电芯片/核心半导体) 7.39%; 寒武纪(电芯片/核心半导体) 7.17%; 兆易创新(存储) 6.25%; 澜起科技(存储) 5.64%; 中微公司(电芯片/核心半导体) 5.27%; 豪威集团(电芯片/核心半导体) 3.16%; 芯原股份(电芯片/核心半导体) 2.93%; 佰维存储(存储) 2.72%
516920,芯片ETF汇添富,指数型-股票,0.00%,14.58%,0.00%,41.22%,55.80%,10,海光信息(电芯片/核心半导体) 7.68%; 北方华创(电芯片/核心半导体) 7.60%; 中芯国际(电芯片/核心半导体) 7.39%; 寒武纪(电芯片/核心半导体) 7.19%; 兆易创新(存储) 6.22%; 澜起科技(存储) 5.64%; 中微公司(电芯片/核心半导体) 5.28%; 豪威集团(电芯片/核心半导体) 3.16%; 芯原股份(电芯片/核心半导体) 2.92%; 佰维存储(存储) 2.72%
011891,易方达先锋成长混合A,混合型-偏股,0.00%,3.96%,51.84%,0.00%,55.80%,7,长芯博创(光芯片/光通信) 9.87%; 长飞光纤光缆(光芯片/光通信) 9.81%; 中际旭创(光芯片/光通信) 9.60%; 新易盛(光芯片/光通信) 9.59%; 源杰科技(光芯片/光通信) 9.08%; 澜起科技(存储) 3.96%; 天孚通信(光芯片/光通信) 3.89%
011892,易方达先锋成长混合C,混合型-偏股,0.00%,3.96%,51.84%,0.00%,55.80%,7,长芯博创(光芯片/光通信) 9.87%; 长飞光纤光缆(光芯片/光通信) 9.81%; 中际旭创(光芯片/光通信) 9.60%; 新易盛(光芯片/光通信) 9.59%; 源杰科技(光芯片/光通信) 9.08%; 澜起科技(存储) 3.96%; 天孚通信(光芯片/光通信) 3.89%
159560,芯片ETF景顺,指数型-股票,0.00%,14.51%,0.00%,40.93%,55.44%,10,海光信息(电芯片/核心半导体) 7.64%; 北方华创(电芯片/核心半导体) 7.56%; 中芯国际(电芯片/核心半导体) 7.35%; 寒武纪(电芯片/核心半导体) 7.08%; 兆易创新(存储) 6.21%; 澜起科技(存储) 5.60%; 中微公司(电芯片/核心半导体) 5.24%; 豪威集团(电芯片/核心半导体) 3.14%; 芯原股份(电芯片/核心半导体) 2.92%; 佰维存储(存储) 2.70%
589190,科创芯片ETF华宝,指数型-股票,0.00%,11.58%,3.41%,40.35%,55.34%,9,中芯国际(电芯片/核心半导体) 9.71%; 海光信息(电芯片/核心半导体) 9.66%; 寒武纪(电芯片/核心半导体) 9.41%; 澜起科技(存储) 7.81%; 中微公司(电芯片/核心半导体) 7.30%; 芯原股份(电芯片/核心半导体) 4.05%; 佰维存储(存储) 3.77%; 源杰科技(光芯片/光通信) 3.41%; 华海清科(电芯片/核心半导体) 0.22%
588890,科创芯片ETF南方,指数型-股票,0.00%,11.56%,3.28%,40.37%,55.21%,8,中芯国际(电芯片/核心半导体) 9.80%; 海光信息(电芯片/核心半导体) 9.66%; 寒武纪(电芯片/核心半导体) 9.56%; 澜起科技(存储) 7.80%; 中微公司(电芯片/核心半导体) 7.30%; 芯原股份(电芯片/核心半导体) 4.05%; 佰维存储(存储) 3.76%; 源杰科技(光芯片/光通信) 3.28%
512760,芯片ETF国泰,指数型-股票,0.00%,14.42%,0.00%,40.76%,55.18%,10,海光信息(电芯片/核心半导体) 7.61%; 北方华创(电芯片/核心半导体) 7.52%; 中芯国际(电芯片/核心半导体) 7.30%; 寒武纪(电芯片/核心半导体) 7.17%; 兆易创新(存储) 6.19%; 澜起科技(存储) 5.57%; 中微公司(电芯片/核心半导体) 5.20%; 豪威集团(电芯片/核心半导体) 3.12%; 芯原股份(电芯片/核心半导体) 2.84%; 佰维存储(存储) 2.66%
589100,科创芯片ETF国泰,指数型-股票,0.00%,11.55%,3.25%,40.32%,55.12%,8,中芯国际(电芯片/核心半导体) 9.78%; 海光信息(电芯片/核心半导体) 9.65%; 寒武纪(电芯片/核心半导体) 9.56%; 澜起科技(存储) 7.79%; 中微公司(电芯片/核心半导体) 7.29%; 芯原股份(电芯片/核心半导体) 4.04%; 佰维存储(存储) 3.76%; 源杰科技(光芯片/光通信) 3.25%
588810,科创芯片ETF富国,指数型-股票,0.00%,11.54%,3.30%,40.26%,55.10%,8,中芯国际(电芯片/核心半导体) 9.78%; 海光信息(电芯片/核心半导体) 9.61%; 寒武纪(电芯片/核心半导体) 9.54%; 澜起科技(存储) 7.77%; 中微公司(电芯片/核心半导体) 7.28%; 芯原股份(电芯片/核心半导体) 4.05%; 佰维存储(存储) 3.77%; 源杰科技(光芯片/光通信) 3.30%
589130,科创芯片ETF易方达,指数型-股票,0.00%,11.54%,3.26%,40.29%,55.09%,8,中芯国际(电芯片/核心半导体) 9.78%; 海光信息(电芯片/核心半导体) 9.64%; 寒武纪(电芯片/核心半导体) 9.54%; 澜起科技(存储) 7.78%; 中微公司(电芯片/核心半导体) 7.29%; 芯原股份(电芯片/核心半导体) 4.04%; 佰维存储(存储) 3.76%; 源杰科技(光芯片/光通信) 3.26%
588990,科创芯片ETF博时,指数型-股票,0.00%,11.54%,3.28%,40.22%,55.04%,8,中芯国际(电芯片/核心半导体) 9.77%; 海光信息(电芯片/核心半导体) 9.64%; 寒武纪(电芯片/核心半导体) 9.55%; 澜起科技(存储) 7.78%; 中微公司(电芯片/核心半导体) 7.22%; 芯原股份(电芯片/核心半导体) 4.04%; 佰维存储(存储) 3.76%; 源杰科技(光芯片/光通信) 3.28%
588750,科创芯片ETF汇添富,指数型-股票,0.00%,11.52%,3.27%,40.21%,55.00%,8,中芯国际(电芯片/核心半导体) 9.76%; 海光信息(电芯片/核心半导体) 9.62%; 寒武纪(电芯片/核心半导体) 9.53%; 澜起科技(存储) 7.77%; 中微公司(电芯片/核心半导体) 7.27%; 芯原股份(电芯片/核心半导体) 4.03%; 佰维存储(存储) 3.75%; 源杰科技(光芯片/光通信) 3.27%
006616,工银战略新兴产业混合C,混合型-偏股,0.00%,0.00%,54.89%,0.00%,54.89%,7,源杰科技(光芯片/光通信) 9.94%; 天孚通信(光芯片/光通信) 9.92%; 中际旭创(光芯片/光通信) 9.75%; 新易盛(光芯片/光通信) 8.85%; 德科立(光芯片/光通信) 7.31%; 太辰光(光芯片/光通信) 5.55%; 长飞光纤光缆(光芯片/光通信) 3.57%
006615,工银战略新兴产业混合A,混合型-偏股,0.00%,0.00%,54.89%,0.00%,54.89%,7,源杰科技(光芯片/光通信) 9.94%; 天孚通信(光芯片/光通信) 9.92%; 中际旭创(光芯片/光通信) 9.75%; 新易盛(光芯片/光通信) 8.85%; 德科立(光芯片/光通信) 7.31%; 太辰光(光芯片/光通信) 5.55%; 长飞光纤光缆(光芯片/光通信) 3.57%
588290,科创芯片ETF华安,指数型-股票,0.00%,11.48%,3.27%,40.05%,54.80%,8,中芯国际(电芯片/核心半导体) 9.73%; 海光信息(电芯片/核心半导体) 9.59%; 寒武纪(电芯片/核心半导体) 9.49%; 澜起科技(存储) 7.74%; 中微公司(电芯片/核心半导体) 7.22%; 芯原股份(电芯片/核心半导体) 4.02%; 佰维存储(存储) 3.74%; 源杰科技(光芯片/光通信) 3.27%
011111,华泰柏瑞行业严选混合A,混合型-偏股,0.00%,0.00%,54.50%,0.00%,54.50%,8,新易盛(光芯片/光通信) 9.23%; 中际旭创(光芯片/光通信) 9.00%; 源杰科技(光芯片/光通信) 8.87%; 德科立(光芯片/光通信) 8.67%; 仕佳光子(光芯片/光通信) 7.26%; 剑桥科技(光芯片/光通信) 4.42%; 天孚通信(光芯片/光通信) 4.21%; 长光华芯(光芯片/光通信) 2.84%
011112,华泰柏瑞行业严选混合C,混合型-偏股,0.00%,0.00%,54.50%,0.00%,54.50%,8,新易盛(光芯片/光通信) 9.23%; 中际旭创(光芯片/光通信) 9.00%; 源杰科技(光芯片/光通信) 8.87%; 德科立(光芯片/光通信) 8.67%; 仕佳光子(光芯片/光通信) 7.26%; 剑桥科技(光芯片/光通信) 4.42%; 天孚通信(光芯片/光通信) 4.21%; 长光华芯(光芯片/光通信) 2.84%
588920,科创芯片ETF鹏华,指数型-股票,0.00%,11.37%,3.26%,39.70%,54.33%,8,中芯国际(电芯片/核心半导体) 9.63%; 海光信息(电芯片/核心半导体) 9.51%; 寒武纪(电芯片/核心半导体) 9.39%; 澜起科技(存储) 7.67%; 中微公司(电芯片/核心半导体) 7.18%; 芯原股份(电芯片/核心半导体) 3.99%; 佰维存储(存储) 3.70%; 源杰科技(光芯片/光通信) 3.26%
561980,半导体设备ETF招商,指数型-股票,0.00%,0.00%,0.00%,53.63%,53.63%,6,中微公司(电芯片/核心半导体) 15.80%; 北方华创(电芯片/核心半导体) 13.79%; 寒武纪(电芯片/核心半导体) 6.61%; 海光信息(电芯片/核心半导体) 6.30%; 中芯国际(电芯片/核心半导体) 6.06%; 华海清科(电芯片/核心半导体) 5.07%
020483,中欧中证芯片产业指数发起C,指数型-股票,0.00%,14.06%,0.00%,39.13%,53.19%,10,北方华创(电芯片/核心半导体) 7.32%; 海光信息(电芯片/核心半导体) 7.26%; 中芯国际(电芯片/核心半导体) 6.98%; 寒武纪(电芯片/核心半导体) 6.78%; 兆易创新(存储) 6.16%; 澜起科技(存储) 5.33%; 中微公司(电芯片/核心半导体) 4.99%; 豪威集团(电芯片/核心半导体) 2.99%; 芯原股份(电芯片/核心半导体) 2.81%; 佰维存储(存储) 2.57%
020478,中欧中证芯片产业指数发起A,指数型-股票,0.00%,14.06%,0.00%,39.13%,53.19%,10,北方华创(电芯片/核心半导体) 7.32%; 海光信息(电芯片/核心半导体) 7.26%; 中芯国际(电芯片/核心半导体) 6.98%; 寒武纪(电芯片/核心半导体) 6.78%; 兆易创新(存储) 6.16%; 澜起科技(存储) 5.33%; 中微公司(电芯片/核心半导体) 4.99%; 豪威集团(电芯片/核心半导体) 2.99%; 芯原股份(电芯片/核心半导体) 2.81%; 佰维存储(存储) 2.57%
015336,嘉实中证芯片产业指数发起式A,指数型-股票,0.00%,13.90%,0.00%,39.24%,53.14%,10,海光信息(电芯片/核心半导体) 7.32%; 北方华创(电芯片/核心半导体) 7.24%; 中芯国际(电芯片/核心半导体) 7.04%; 寒武纪(电芯片/核心半导体) 6.81%; 兆易创新(存储) 5.95%; 澜起科技(存储) 5.37%; 中微公司(电芯片/核心半导体) 5.03%; 豪威集团(电芯片/核心半导体) 3.01%; 芯原股份(电芯片/核心半导体) 2.79%; 佰维存储(存储) 2.58%
015337,嘉实中证芯片产业指数发起式C,指数型-股票,0.00%,13.90%,0.00%,39.24%,53.14%,10,海光信息(电芯片/核心半导体) 7.32%; 北方华创(电芯片/核心半导体) 7.24%; 中芯国际(电芯片/核心半导体) 7.04%; 寒武纪(电芯片/核心半导体) 6.81%; 兆易创新(存储) 5.95%; 澜起科技(存储) 5.37%; 中微公司(电芯片/核心半导体) 5.03%; 豪威集团(电芯片/核心半导体) 3.01%; 芯原股份(电芯片/核心半导体) 2.79%; 佰维存储(存储) 2.58%
159582,半导体ETF博时,指数型-股票,0.00%,0.00%,0.00%,53.11%,53.11%,6,中微公司(电芯片/核心半导体) 15.85%; 北方华创(电芯片/核心半导体) 13.40%; 寒武纪(电芯片/核心半导体) 6.48%; 海光信息(电芯片/核心半导体) 6.26%; 中芯国际(电芯片/核心半导体) 6.05%; 华海清科(电芯片/核心半导体) 5.07%
012651,博时半导体主题混合C,混合型-偏股,0.00%,14.12%,0.00%,38.94%,53.06%,9,华虹半导体(电芯片/核心半导体) 8.20%; 兆易创新(存储) 7.94%; 海光信息(电芯片/核心半导体) 7.11%; 寒武纪(电芯片/核心半导体) 6.55%; 北方华创(电芯片/核心半导体) 6.55%; 澜起科技(存储) 6.18%; 中芯国际(电芯片/核心半导体) 5.73%; 中微公司(电芯片/核心半导体) 3.23%; 中芯国际(电芯片/核心半导体) 1.57%
012650,博时半导体主题混合A,混合型-偏股,0.00%,14.12%,0.00%,38.94%,53.06%,9,华虹半导体(电芯片/核心半导体) 8.20%; 兆易创新(存储) 7.94%; 海光信息(电芯片/核心半导体) 7.11%; 寒武纪(电芯片/核心半导体) 6.55%; 北方华创(电芯片/核心半导体) 6.55%; 澜起科技(存储) 6.18%; 中芯国际(电芯片/核心半导体) 5.73%; 中微公司(电芯片/核心半导体) 3.23%; 中芯国际(电芯片/核心半导体) 1.57%
