基金代码,基金名称,基金类型,AXTI占比,存储占比,光芯片/光通信占比,电芯片/核心半导体占比,合计占比,匹配持仓数,核心持仓摘要
015977,光大数字经济主题混合C,混合型-偏股,0.00%,0.00%,7.91%,13.49%,21.40%,5,海光信息(电芯片/核心半导体) 4.86%; 中芯国际(电芯片/核心半导体) 4.85%; 新易盛(光芯片/光通信) 4.29%; 北方华创(电芯片/核心半导体) 3.78%; 中际旭创(光芯片/光通信) 3.62%
005774,华夏产业升级混合A,混合型-偏股,0.00%,4.14%,10.30%,6.93%,21.37%,4,海光信息(电芯片/核心半导体) 6.93%; 中际旭创(光芯片/光通信) 5.54%; 新易盛(光芯片/光通信) 4.76%; 兆易创新(存储) 4.14%
015059,华夏产业升级混合C,混合型-偏股,0.00%,4.14%,10.30%,6.93%,21.37%,4,海光信息(电芯片/核心半导体) 6.93%; 中际旭创(光芯片/光通信) 5.54%; 新易盛(光芯片/光通信) 4.76%; 兆易创新(存储) 4.14%
012688,长安成长优选混合A,混合型-偏股,0.00%,0.00%,21.36%,0.00%,21.36%,3,新易盛(光芯片/光通信) 8.33%; 中际旭创(光芯片/光通信) 8.20%; 源杰科技(光芯片/光通信) 4.83%
012689,长安成长优选混合C,混合型-偏股,0.00%,0.00%,21.36%,0.00%,21.36%,3,新易盛(光芯片/光通信) 8.33%; 中际旭创(光芯片/光通信) 8.20%; 源杰科技(光芯片/光通信) 4.83%
009887,广发稳健优选六个月持有期混合A,混合型-平衡,0.00%,5.29%,10.94%,5.10%,21.33%,4,中际旭创(光芯片/光通信) 5.56%; 德科立(光芯片/光通信) 5.38%; 兆易创新(存储) 5.29%; 中微公司(电芯片/核心半导体) 5.10%
009888,广发稳健优选六个月持有期混合C,混合型-平衡,0.00%,5.29%,10.94%,5.10%,21.33%,4,中际旭创(光芯片/光通信) 5.56%; 德科立(光芯片/光通信) 5.38%; 兆易创新(存储) 5.29%; 中微公司(电芯片/核心半导体) 5.10%
005794,银华心怡灵活配置混合A,混合型-灵活,0.00%,0.00%,0.00%,21.32%,21.32%,3,海光信息(电芯片/核心半导体) 8.06%; 中芯国际(电芯片/核心半导体) 8.03%; 华虹半导体(电芯片/核心半导体) 5.23%
014043,银华心怡灵活配置混合C,混合型-灵活,0.00%,0.00%,0.00%,21.32%,21.32%,3,海光信息(电芯片/核心半导体) 8.06%; 中芯国际(电芯片/核心半导体) 8.03%; 华虹半导体(电芯片/核心半导体) 5.23%
025957,新华科技优选混合发起C,混合型-偏股,0.00%,0.00%,0.00%,21.31%,21.31%,3,恒玄科技(电芯片/核心半导体) 9.39%; 思特威(电芯片/核心半导体) 6.43%; 芯原股份(电芯片/核心半导体) 5.49%
025956,新华科技优选混合发起A,混合型-偏股,0.00%,0.00%,0.00%,21.31%,21.31%,3,恒玄科技(电芯片/核心半导体) 9.39%; 思特威(电芯片/核心半导体) 6.43%; 芯原股份(电芯片/核心半导体) 5.49%
023875,兴全合润混合C,混合型-偏股,0.00%,3.81%,6.24%,11.20%,21.25%,4,晶晨股份(电芯片/核心半导体) 7.09%; 中际旭创(光芯片/光通信) 6.24%; 华海清科(电芯片/核心半导体) 4.11%; 澜起科技(存储) 3.81%
163406,兴全合润混合A,混合型-偏股,0.00%,3.81%,6.24%,11.20%,21.25%,4,晶晨股份(电芯片/核心半导体) 7.09%; 中际旭创(光芯片/光通信) 6.24%; 华海清科(电芯片/核心半导体) 4.11%; 澜起科技(存储) 3.81%
011817,银华阿尔法混合,混合型-偏股,0.00%,0.00%,21.23%,0.00%,21.23%,3,新易盛(光芯片/光通信) 8.77%; 中际旭创(光芯片/光通信) 8.65%; 天孚通信(光芯片/光通信) 3.81%
050009,博时新兴成长混合,混合型-偏股,0.00%,0.00%,16.90%,4.31%,21.21%,4,新易盛(光芯片/光通信) 6.48%; 中际旭创(光芯片/光通信) 6.14%; 寒武纪(电芯片/核心半导体) 4.31%; 太辰光(光芯片/光通信) 4.28%
