基金代码,基金名称,基金类型,证券代码,证券名称,口径,分类,占净值比例,原始重复行数,原始最大行序号
018243,万家颐德一年持有期混合C,混合型-偏股,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,7.82%,1,6
018246,富国研究优选沪港深灵活配置混合C,混合型-灵活,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,4.48%,1,8
018294,景顺长城国企价值混合A,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,3.57%,1,8
018295,景顺长城国企价值混合C,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,3.57%,1,8
018329,泉果思源三年持有期混合A,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,7.21%,1,1
018329,泉果思源三年持有期混合A,混合型-偏股,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,2.97%,1,9
018330,泉果思源三年持有期混合C,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,7.21%,1,1
018330,泉果思源三年持有期混合C,混合型-偏股,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,2.97%,1,9
018350,万家欣优混合A,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,8.27%,1,2
018356,万家欣优混合C,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,8.27%,1,2
018393,富国稳健添利债券A,债券型-混合二级,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,0.56%,1,3
018393,富国稳健添利债券A,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.39%,1,7
018394,富国稳健添利债券C,债券型-混合二级,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,0.56%,1,3
018394,富国稳健添利债券C,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.39%,1,7
018403,富国稳健添利债券E,债券型-混合二级,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,0.56%,1,3
018403,富国稳健添利债券E,债券型-混合二级,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.39%,1,7
018405,朱雀产业精选混合A,混合型-偏股,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,8.72%,1,2
018405,朱雀产业精选混合A,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,5.35%,1,4
018406,朱雀产业精选混合C,混合型-偏股,00981,中芯国际,广义离岸中国AI,中国离岸半导体制造,8.72%,1,2
018406,朱雀产业精选混合C,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,5.35%,1,4
018434,嘉实均衡配置混合,混合型-偏股,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,2.96%,1,7
018442,汇添富成长领航混合A,混合型-偏股,01347,华虹半导体,广义离岸中国AI,中国离岸半导体制造,6.06%,1,3
018443,汇添富成长领航混合C,混合型-偏股,01347,华虹半导体,广义离岸中国AI,中国离岸半导体制造,6.06%,1,3
018447,长城价值优选混合C,混合型-偏股,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,2.65%,1,10
