基金代码,基金名称,基金类型,证券代码,证券名称,口径,分类,占净值比例,原始重复行数,原始最大行序号
019158,易方达全球配置混合(QDII)C(美元现汇),QDII-混合灵活,GLW,康宁,扩展海外AI,光纤/材料,3.16%,1,8
019158,易方达全球配置混合(QDII)C(美元现汇),QDII-混合灵活,MU,美光科技,狭义海外AI,AI存储/HBM,3.08%,1,9
019158,易方达全球配置混合(QDII)C(美元现汇),QDII-混合灵活,GOOGL,谷歌-A,狭义海外AI,AI云/大模型,2.68%,1,10
019159,中欧产业领航混合A,混合型-偏股,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,6.77%,1,4
019160,中欧产业领航混合C,混合型-偏股,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,6.77%,1,4
019170,天弘沪港深云计算ETF联接C,指数型-股票,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.43%,1,3
019170,天弘沪港深云计算ETF联接C,指数型-股票,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,0.41%,1,4
019171,天弘沪港深云计算ETF联接A,指数型-股票,00700,腾讯控股,广义离岸中国AI,中国离岸AI平台/云,0.43%,1,3
019171,天弘沪港深云计算ETF联接A,指数型-股票,09988,阿里巴巴-W,广义离岸中国AI,中国离岸AI平台/云,0.41%,1,4
019172,摩根纳斯达克100指数(QDII)人民币A,指数型-海外股票,NVDA,英伟达,狭义海外AI,核心算力-GPU,8.28%,1,1
