基金代码,基金名称,基金类型,AXTI占比,海外存储占比,海外光芯片/光通信占比,海外电芯片/核心半导体占比,海外合计占比,匹配持仓数,核心持仓摘要
241001,华宝海外中国成长混合,QDII-混合偏股,0.00%,0.00%,5.44%,0.00%,5.44%,1,长飞光纤光缆(光芯片/光通信) 5.44%
017848,东方红先进制造混合A,混合型-偏股,0.00%,0.00%,0.00%,5.43%,5.43%,1,中芯国际(电芯片/核心半导体) 5.43%
017849,东方红先进制造混合C,混合型-偏股,0.00%,0.00%,0.00%,5.43%,5.43%,1,中芯国际(电芯片/核心半导体) 5.43%
159125,港股通科技ETF招商,指数型-股票,0.00%,0.00%,0.00%,5.43%,5.43%,1,中芯国际(电芯片/核心半导体) 5.43%
012301,易方达核心智造混合,混合型-偏股,0.00%,0.00%,5.42%,0.00%,5.42%,1,长飞光纤光缆(光芯片/光通信) 5.42%
014402,富国核心趋势混合C,混合型-偏股,0.00%,0.00%,5.41%,0.00%,5.41%,1,长飞光纤光缆(光芯片/光通信) 5.41%
014401,富国核心趋势混合A,混合型-偏股,0.00%,0.00%,5.41%,0.00%,5.41%,1,长飞光纤光缆(光芯片/光通信) 5.41%
025350,广发乾享核心精选混合C,混合型-偏股,0.00%,0.00%,5.41%,0.00%,5.41%,1,长飞光纤光缆(光芯片/光通信) 5.41%
025349,广发乾享核心精选混合A,混合型-偏股,0.00%,0.00%,5.41%,0.00%,5.41%,1,长飞光纤光缆(光芯片/光通信) 5.41%
016761,嘉合锦荣混合A,混合型-偏股,0.00%,0.00%,0.00%,5.37%,5.37%,1,中芯国际(电芯片/核心半导体) 5.37%
016762,嘉合锦荣混合C,混合型-偏股,0.00%,0.00%,0.00%,5.37%,5.37%,1,中芯国际(电芯片/核心半导体) 5.37%
019075,嘉实全球产业精选混合发起式(QDII)人民币,QDII-混合偏股,0.00%,0.00%,0.00%,5.37%,5.37%,2,台积电(电芯片/核心半导体) 2.89%; 中芯国际(电芯片/核心半导体) 2.48%
019076,嘉实全球产业精选混合发起式(QDII)美元,QDII-混合偏股,0.00%,0.00%,0.00%,5.37%,5.37%,2,台积电(电芯片/核心半导体) 2.89%; 中芯国际(电芯片/核心半导体) 2.48%
011338,兴全合远两年持有混合A,混合型-偏股,0.00%,0.00%,5.35%,0.00%,5.35%,1,高伟电子(光芯片/光通信) 5.35%
011339,兴全合远两年持有混合C,混合型-偏股,0.00%,0.00%,5.35%,0.00%,5.35%,1,高伟电子(光芯片/光通信) 5.35%
012988,嘉合锦明混合C,混合型-偏股,0.00%,0.00%,0.00%,5.35%,5.35%,1,中芯国际(电芯片/核心半导体) 5.35%
012987,嘉合锦明混合A,混合型-偏股,0.00%,0.00%,0.00%,5.35%,5.35%,1,中芯国际(电芯片/核心半导体) 5.35%
013369,汇添富自主核心科技一年持有混合A,混合型-偏股,0.00%,0.00%,5.35%,0.00%,5.35%,1,长飞光纤光缆(光芯片/光通信) 5.35%
013370,汇添富自主核心科技一年持有混合C,混合型-偏股,0.00%,0.00%,5.35%,0.00%,5.35%,1,长飞光纤光缆(光芯片/光通信) 5.35%
012986,平安优势回报1年持有混合C,混合型-偏股,0.00%,0.00%,5.32%,0.00%,5.32%,1,长飞光纤光缆(光芯片/光通信) 5.32%
012985,平安优势回报1年持有混合A,混合型-偏股,0.00%,0.00%,5.32%,0.00%,5.32%,1,长飞光纤光缆(光芯片/光通信) 5.32%
009576,东方红智远三年持有混合,混合型-偏股,0.00%,0.00%,0.00%,5.31%,5.31%,1,中芯国际(电芯片/核心半导体) 5.31%
012706,中银核心精选混合A,混合型-偏股,0.00%,0.00%,0.00%,5.30%,5.30%,2,华虹半导体(电芯片/核心半导体) 2.72%; 中芯国际(电芯片/核心半导体) 2.58%
012707,中银核心精选混合C,混合型-偏股,0.00%,0.00%,0.00%,5.30%,5.30%,2,华虹半导体(电芯片/核心半导体) 2.72%; 中芯国际(电芯片/核心半导体) 2.58%
014607,招商高端装备混合C,混合型-偏股,0.00%,0.00%,5.28%,0.00%,5.28%,1,长飞光纤光缆(光芯片/光通信) 5.28%
014606,招商高端装备混合A,混合型-偏股,0.00%,0.00%,5.28%,0.00%,5.28%,1,长飞光纤光缆(光芯片/光通信) 5.28%
016157,汇添富数字经济核心产业一年持有期混合A,混合型-偏股,0.00%,0.00%,0.00%,5.27%,5.27%,1,中芯国际(电芯片/核心半导体) 5.27%
016158,汇添富数字经济核心产业一年持有期混合C,混合型-偏股,0.00%,0.00%,0.00%,5.27%,5.27%,1,中芯国际(电芯片/核心半导体) 5.27%
016159,汇添富数字经济核心产业一年持有期混合D,混合型-偏股,0.00%,0.00%,0.00%,5.27%,5.27%,1,中芯国际(电芯片/核心半导体) 5.27%
008290,华安现代生活混合,混合型-偏股,0.00%,0.00%,0.00%,5.25%,5.25%,1,华虹半导体(电芯片/核心半导体) 5.25%
010180,华夏科技龙头两年持有混合,混合型-偏股,0.00%,0.00%,0.00%,5.19%,5.19%,1,华虹半导体(电芯片/核心半导体) 5.19%
026210,平安科技精选混合发起式A,混合型-偏股,0.00%,0.00%,5.18%,0.00%,5.18%,1,长飞光纤光缆(光芯片/光通信) 5.18%
026211,平安科技精选混合发起式C,混合型-偏股,0.00%,0.00%,5.18%,0.00%,5.18%,1,长飞光纤光缆(光芯片/光通信) 5.18%
010213,中欧互联网先锋混合A,混合型-偏股,0.00%,0.00%,5.16%,0.00%,5.16%,1,长飞光纤光缆(光芯片/光通信) 5.16%
010214,中欧互联网先锋混合C,混合型-偏股,0.00%,0.00%,5.16%,0.00%,5.16%,1,长飞光纤光缆(光芯片/光通信) 5.16%
014419,西部利得CES芯片指数增强C,指数型-股票,0.00%,0.00%,0.00%,5.16%,5.16%,1,中芯国际(电芯片/核心半导体) 5.16%
014418,西部利得CES芯片指数增强A,指数型-股票,0.00%,0.00%,0.00%,5.16%,5.16%,1,中芯国际(电芯片/核心半导体) 5.16%
002387,工银沪港深股票A,股票型,0.00%,0.00%,0.00%,5.15%,5.15%,1,中芯国际(电芯片/核心半导体) 5.15%
007512,工银沪港深股票C,股票型,0.00%,0.00%,0.00%,5.15%,5.15%,1,中芯国际(电芯片/核心半导体) 5.15%
016465,兴全合瑞混合C,混合型-偏股,0.00%,0.00%,5.15%,0.00%,5.15%,1,高伟电子(光芯片/光通信) 5.15%
016464,兴全合瑞混合A,混合型-偏股,0.00%,0.00%,5.15%,0.00%,5.15%,1,高伟电子(光芯片/光通信) 5.15%
019153,中欧锐意成长混合发起A,混合型-偏股,0.00%,0.00%,5.15%,0.00%,5.15%,1,长飞光纤光缆(光芯片/光通信) 5.15%
019154,中欧锐意成长混合发起C,混合型-偏股,0.00%,0.00%,5.15%,0.00%,5.15%,1,长飞光纤光缆(光芯片/光通信) 5.15%
012884,华夏港股通精选股票发起式(LOF)C,股票型,0.00%,0.00%,0.00%,5.14%,5.14%,1,中芯国际(电芯片/核心半导体) 5.14%
160322,华夏港股通精选股票发起式(LOF)A,股票型,0.00%,0.00%,0.00%,5.14%,5.14%,1,中芯国际(电芯片/核心半导体) 5.14%
024821,国富国证港股通科技指数C,指数型-股票,0.00%,0.00%,0.00%,5.13%,5.13%,1,中芯国际(电芯片/核心半导体) 5.13%
024820,国富国证港股通科技指数A,指数型-股票,0.00%,0.00%,0.00%,5.13%,5.13%,1,中芯国际(电芯片/核心半导体) 5.13%
010372,大成成长进取混合C,混合型-偏股,0.00%,0.00%,5.11%,0.00%,5.11%,1,长飞光纤光缆(光芯片/光通信) 5.11%
010371,大成成长进取混合A,混合型-偏股,0.00%,0.00%,5.11%,0.00%,5.11%,1,长飞光纤光缆(光芯片/光通信) 5.11%
025024,华商港股通价值回报混合,混合型-偏股,0.00%,0.00%,0.00%,5.10%,5.10%,1,中芯国际(电芯片/核心半导体) 5.10%
014350,华商卓越成长一年持有混合A,混合型-偏股,0.00%,0.00%,5.07%,0.00%,5.07%,1,长飞光纤光缆(光芯片/光通信) 5.07%
014351,华商卓越成长一年持有混合C,混合型-偏股,0.00%,0.00%,5.07%,0.00%,5.07%,1,长飞光纤光缆(光芯片/光通信) 5.07%
012510,国富优质企业一年持有期混合A,混合型-偏股,0.00%,0.00%,0.00%,5.06%,5.06%,1,中芯国际(电芯片/核心半导体) 5.06%
012511,国富优质企业一年持有期混合C,混合型-偏股,0.00%,0.00%,0.00%,5.06%,5.06%,1,中芯国际(电芯片/核心半导体) 5.06%
025182,浦银安盛港股通科技指数C,指数型-股票,0.00%,0.00%,0.00%,5.03%,5.03%,1,中芯国际(电芯片/核心半导体) 5.03%
025181,浦银安盛港股通科技指数A,指数型-股票,0.00%,0.00%,0.00%,5.03%,5.03%,1,中芯国际(电芯片/核心半导体) 5.03%
004263,华安沪港深机会灵活配置混合,混合型-灵活,0.00%,0.00%,0.00%,5.02%,5.02%,1,中芯国际(电芯片/核心半导体) 5.02%
010807,融通稳信增益6个月持有期混合A,混合型-偏债,0.00%,0.00%,5.02%,0.00%,5.02%,1,长飞光纤光缆(光芯片/光通信) 5.02%
012525,融通稳信增益6个月持有期混合C,混合型-偏债,0.00%,0.00%,5.02%,0.00%,5.02%,1,长飞光纤光缆(光芯片/光通信) 5.02%
013389,华夏成长先锋一年持有混合A,混合型-偏股,0.00%,0.00%,0.00%,4.97%,4.97%,1,华虹半导体(电芯片/核心半导体) 4.97%
013390,华夏成长先锋一年持有混合C,混合型-偏股,0.00%,0.00%,0.00%,4.97%,4.97%,1,华虹半导体(电芯片/核心半导体) 4.97%
018994,中欧数字经济混合发起C,混合型-偏股,0.00%,0.00%,4.95%,0.00%,4.95%,1,长飞光纤光缆(光芯片/光通信) 4.95%
018993,中欧数字经济混合发起A,混合型-偏股,0.00%,0.00%,4.95%,0.00%,4.95%,1,长飞光纤光缆(光芯片/光通信) 4.95%
011304,工银创新成长混合A,混合型-偏股,0.00%,0.00%,4.92%,0.00%,4.92%,1,长飞光纤光缆(光芯片/光通信) 4.92%
011305,工银创新成长混合C,混合型-偏股,0.00%,0.00%,4.92%,0.00%,4.92%,1,长飞光纤光缆(光芯片/光通信) 4.92%
011800,申万菱信价值精选混合A,混合型-偏股,0.00%,0.00%,4.91%,0.00%,4.91%,1,长飞光纤光缆(光芯片/光通信) 4.91%
015158,申万菱信价值精选混合C,混合型-偏股,0.00%,0.00%,4.91%,0.00%,4.91%,1,长飞光纤光缆(光芯片/光通信) 4.91%
010442,东方红启盛三年持有混合B,混合型-偏股,0.00%,0.00%,0.00%,4.90%,4.90%,1,中芯国际(电芯片/核心半导体) 4.90%
012846,恒越蓝筹精选混合,混合型-偏股,0.00%,0.00%,0.00%,4.90%,4.90%,1,中芯国际(电芯片/核心半导体) 4.90%
013052,汇泉臻心致远混合C,混合型-偏股,0.00%,0.00%,0.00%,4.90%,4.90%,1,中芯国际(电芯片/核心半导体) 4.90%
013051,汇泉臻心致远混合A,混合型-偏股,0.00%,0.00%,0.00%,4.90%,4.90%,1,中芯国际(电芯片/核心半导体) 4.90%
910006,东方红启盛三年持有混合A,混合型-偏股,0.00%,0.00%,0.00%,4.90%,4.90%,1,中芯国际(电芯片/核心半导体) 4.90%
014783,招商远见成长混合A,混合型-偏股,0.00%,0.00%,4.88%,0.00%,4.88%,1,长飞光纤光缆(光芯片/光通信) 4.88%
014784,招商远见成长混合C,混合型-偏股,0.00%,0.00%,4.88%,0.00%,4.88%,1,长飞光纤光缆(光芯片/光通信) 4.88%
020408,华商数字经济混合A,混合型-偏股,0.00%,0.00%,0.00%,4.86%,4.86%,1,中芯国际(电芯片/核心半导体) 4.86%
020409,华商数字经济混合C,混合型-偏股,0.00%,0.00%,0.00%,4.86%,4.86%,1,中芯国际(电芯片/核心半导体) 4.86%
015976,光大数字经济主题混合A,混合型-偏股,0.00%,0.00%,0.00%,4.85%,4.85%,1,中芯国际(电芯片/核心半导体) 4.85%
015977,光大数字经济主题混合C,混合型-偏股,0.00%,0.00%,0.00%,4.85%,4.85%,1,中芯国际(电芯片/核心半导体) 4.85%
019265,南方港股数字经济混合发起(QDII)A,QDII-混合偏股,0.00%,0.00%,4.83%,0.00%,4.83%,1,长飞光纤光缆(光芯片/光通信) 4.83%
019266,南方港股数字经济混合发起(QDII)C,QDII-混合偏股,0.00%,0.00%,4.83%,0.00%,4.83%,1,长飞光纤光缆(光芯片/光通信) 4.83%
019942,富国洞见价值股票C,股票型,0.00%,0.00%,0.00%,4.79%,4.79%,1,中芯国际(电芯片/核心半导体) 4.79%
019941,富国洞见价值股票A,股票型,0.00%,0.00%,0.00%,4.79%,4.79%,1,中芯国际(电芯片/核心半导体) 4.79%
022168,富国洞见价值股票E,股票型,0.00%,0.00%,0.00%,4.79%,4.79%,1,中芯国际(电芯片/核心半导体) 4.79%
010587,鹏扬先进制造混合A,混合型-偏股,0.00%,0.00%,0.00%,4.78%,4.78%,1,中芯国际(电芯片/核心半导体) 4.78%
010588,鹏扬先进制造混合C,混合型-偏股,0.00%,0.00%,0.00%,4.78%,4.78%,1,中芯国际(电芯片/核心半导体) 4.78%
015144,中欧智能制造混合C,混合型-偏股,0.00%,0.00%,0.00%,4.78%,4.78%,1,中芯国际(电芯片/核心半导体) 4.78%
015143,中欧智能制造混合A,混合型-偏股,0.00%,0.00%,0.00%,4.78%,4.78%,1,中芯国际(电芯片/核心半导体) 4.78%
015548,华商核心成长一年持有混合C,混合型-偏股,0.00%,0.00%,4.78%,0.00%,4.78%,1,长飞光纤光缆(光芯片/光通信) 4.78%
015547,华商核心成长一年持有混合A,混合型-偏股,0.00%,0.00%,4.78%,0.00%,4.78%,1,长飞光纤光缆(光芯片/光通信) 4.78%
012346,易方达港股通成长混合A,混合型-偏股,0.00%,0.00%,4.77%,0.00%,4.77%,1,长飞光纤光缆(光芯片/光通信) 4.77%
012347,易方达港股通成长混合C,混合型-偏股,0.00%,0.00%,4.77%,0.00%,4.77%,1,长飞光纤光缆(光芯片/光通信) 4.77%
011163,博时港股通领先趋势混合C,混合型-偏股,0.00%,0.00%,0.00%,4.75%,4.75%,1,华虹半导体(电芯片/核心半导体) 4.75%
011162,博时港股通领先趋势混合A,混合型-偏股,0.00%,0.00%,0.00%,4.75%,4.75%,1,华虹半导体(电芯片/核心半导体) 4.75%
501098,建信优享科技创新混合(LOF),混合型-偏股,0.00%,0.00%,0.00%,4.74%,4.74%,1,华虹半导体(电芯片/核心半导体) 4.74%
910024,东方红启阳三年持有混合A,混合型-偏股,0.00%,0.00%,0.00%,4.74%,4.74%,1,中芯国际(电芯片/核心半导体) 4.74%
011399,汇添富数字未来混合A,混合型-偏股,0.00%,0.00%,4.73%,0.00%,4.73%,1,长飞光纤光缆(光芯片/光通信) 4.73%
011400,汇添富数字未来混合C,混合型-偏股,0.00%,0.00%,4.73%,0.00%,4.73%,1,长飞光纤光缆(光芯片/光通信) 4.73%
016346,长安行业成长混合C,混合型-偏股,0.00%,0.00%,0.00%,4.72%,4.72%,1,中芯国际(电芯片/核心半导体) 4.72%
016345,长安行业成长混合A,混合型-偏股,0.00%,0.00%,0.00%,4.72%,4.72%,1,中芯国际(电芯片/核心半导体) 4.72%
018130,博时ESG量化选股混合A,混合型-偏股,0.00%,0.00%,0.00%,4.71%,4.71%,1,华虹半导体(电芯片/核心半导体) 4.71%
018131,博时ESG量化选股混合C,混合型-偏股,0.00%,0.00%,0.00%,4.71%,4.71%,1,华虹半导体(电芯片/核心半导体) 4.71%
009857,博时价值臻选持有期混合A,混合型-灵活,0.00%,0.00%,4.70%,0.00%,4.70%,1,长飞光纤光缆(光芯片/光通信) 4.70%
009858,博时价值臻选持有期混合C,混合型-灵活,0.00%,0.00%,4.70%,0.00%,4.70%,1,长飞光纤光缆(光芯片/光通信) 4.70%
019499,兴全创新优势混合C,混合型-偏股,0.00%,0.00%,0.00%,4.66%,4.66%,1,中芯国际(电芯片/核心半导体) 4.66%
019498,兴全创新优势混合A,混合型-偏股,0.00%,0.00%,0.00%,4.66%,4.66%,1,中芯国际(电芯片/核心半导体) 4.66%
010966,富国成长领航混合,混合型-偏股,0.00%,0.00%,0.00%,4.65%,4.65%,1,中芯国际(电芯片/核心半导体) 4.65%
015491,博时科创主题灵活配置混合(LOF)C,混合型-灵活,0.00%,0.00%,4.60%,0.00%,4.60%,1,长飞光纤光缆(光芯片/光通信) 4.60%
501082,博时科创主题灵活配置混合(LOF)A,混合型-灵活,0.00%,0.00%,4.60%,0.00%,4.60%,1,长飞光纤光缆(光芯片/光通信) 4.60%
014293,嘉实产业领先混合C,混合型-偏股,0.00%,0.00%,4.58%,0.00%,4.58%,1,长飞光纤光缆(光芯片/光通信) 4.58%
014292,嘉实产业领先混合A,混合型-偏股,0.00%,0.00%,4.58%,0.00%,4.58%,1,长飞光纤光缆(光芯片/光通信) 4.58%
007881,朱雀产业智选混合C,混合型-偏股,0.00%,0.00%,0.00%,4.56%,4.56%,1,中芯国际(电芯片/核心半导体) 4.56%
007880,朱雀产业智选混合A,混合型-偏股,0.00%,0.00%,0.00%,4.56%,4.56%,1,中芯国际(电芯片/核心半导体) 4.56%
008085,海富通先进制造股票A,股票型,0.00%,0.00%,4.55%,0.00%,4.55%,1,长飞光纤光缆(光芯片/光通信) 4.55%
008084,海富通先进制造股票C,股票型,0.00%,0.00%,4.55%,0.00%,4.55%,1,长飞光纤光缆(光芯片/光通信) 4.55%
010350,景顺长城品质长青混合A,混合型-偏股,0.00%,0.00%,4.55%,0.00%,4.55%,1,高伟电子(光芯片/光通信) 4.55%
015751,景顺长城品质长青混合C,混合型-偏股,0.00%,0.00%,4.55%,0.00%,4.55%,1,高伟电子(光芯片/光通信) 4.55%
012456,鹏扬数字经济先锋混合A,混合型-偏股,0.00%,0.00%,4.54%,0.00%,4.54%,1,长飞光纤光缆(光芯片/光通信) 4.54%
012457,鹏扬数字经济先锋混合C,混合型-偏股,0.00%,0.00%,4.54%,0.00%,4.54%,1,长飞光纤光缆(光芯片/光通信) 4.54%
159519,港股国企ETF国泰,指数型-海外股票,0.00%,0.00%,0.00%,4.53%,4.53%,1,中芯国际(电芯片/核心半导体) 4.53%
018554,交银启嘉混合A,混合型-偏股,0.00%,0.00%,2.44%,2.09%,4.53%,2,长飞光纤光缆(光芯片/光通信) 2.44%; 华虹半导体(电芯片/核心半导体) 2.09%
018555,交银启嘉混合C,混合型-偏股,0.00%,0.00%,2.44%,2.09%,4.53%,2,长飞光纤光缆(光芯片/光通信) 2.44%; 华虹半导体(电芯片/核心半导体) 2.09%
017639,景顺长城景气优选一年持有期混合A,混合型-偏股,0.00%,0.00%,0.00%,4.49%,4.49%,1,中芯国际(电芯片/核心半导体) 4.49%
017640,景顺长城景气优选一年持有期混合C,混合型-偏股,0.00%,0.00%,0.00%,4.49%,4.49%,1,中芯国际(电芯片/核心半导体) 4.49%
011909,广发沪港深价值精选混合C,混合型-偏股,0.00%,0.00%,0.00%,4.47%,4.47%,1,中芯国际(电芯片/核心半导体) 4.47%
011908,广发沪港深价值精选混合A,混合型-偏股,0.00%,0.00%,0.00%,4.47%,4.47%,1,中芯国际(电芯片/核心半导体) 4.47%
019830,华夏数字产业混合C,混合型-偏股,0.00%,0.00%,4.46%,0.00%,4.46%,1,长飞光纤光缆(光芯片/光通信) 4.46%
019829,华夏数字产业混合A,混合型-偏股,0.00%,0.00%,4.46%,0.00%,4.46%,1,长飞光纤光缆(光芯片/光通信) 4.46%
014922,华夏ESG可持续投资一年持有混合A,混合型-偏股,0.00%,0.00%,0.00%,4.45%,4.45%,1,中芯国际(电芯片/核心半导体) 4.45%
014923,华夏ESG可持续投资一年持有混合C,混合型-偏股,0.00%,0.00%,0.00%,4.45%,4.45%,1,中芯国际(电芯片/核心半导体) 4.45%
005143,国联沪港深大消费主题C,混合型-灵活,0.00%,0.00%,0.00%,4.44%,4.44%,1,中芯国际(电芯片/核心半导体) 4.44%
005142,国联沪港深大消费主题A,混合型-灵活,0.00%,0.00%,0.00%,4.44%,4.44%,1,中芯国际(电芯片/核心半导体) 4.44%
013843,银华新锐成长混合C,混合型-偏股,0.00%,0.00%,0.00%,4.43%,4.43%,1,华虹半导体(电芯片/核心半导体) 4.43%
013842,银华新锐成长混合A,混合型-偏股,0.00%,0.00%,0.00%,4.43%,4.43%,1,华虹半导体(电芯片/核心半导体) 4.43%
159750,港股科技50ETF招商,指数型-海外股票,0.00%,0.00%,0.00%,4.37%,4.37%,1,中芯国际(电芯片/核心半导体) 4.37%
006923,前海开源沪港深非周期股票A,股票型,0.00%,0.00%,0.00%,4.34%,4.34%,1,中芯国际(电芯片/核心半导体) 4.34%
006924,前海开源沪港深非周期股票C,股票型,0.00%,0.00%,0.00%,4.34%,4.34%,1,中芯国际(电芯片/核心半导体) 4.34%
022122,国泰海通中证香港科技指数发起(QDII)C,指数型-海外股票,0.00%,0.00%,0.00%,4.33%,4.33%,1,中芯国际(电芯片/核心半导体) 4.33%
022121,国泰海通中证香港科技指数发起(QDII)A,指数型-海外股票,0.00%,0.00%,0.00%,4.33%,4.33%,1,中芯国际(电芯片/核心半导体) 4.33%
024159,大成港股通机遇混合A,混合型-偏股,0.00%,0.00%,0.00%,4.32%,4.32%,1,中芯国际(电芯片/核心半导体) 4.32%
024160,大成港股通机遇混合C,混合型-偏股,0.00%,0.00%,0.00%,4.32%,4.32%,1,中芯国际(电芯片/核心半导体) 4.32%
513810,港股国企ETF华夏,指数型-海外股票,0.00%,0.00%,0.00%,4.32%,4.32%,1,中芯国际(电芯片/核心半导体) 4.32%
001877,宝盈国家安全沪港深股票A,股票型,0.00%,0.00%,0.00%,4.31%,4.31%,1,华虹半导体(电芯片/核心半导体) 4.31%
013613,宝盈国家安全沪港深股票C,股票型,0.00%,0.00%,0.00%,4.31%,4.31%,1,华虹半导体(电芯片/核心半导体) 4.31%
009217,博时荣丰回报灵活配置混合A,混合型-灵活,0.00%,0.00%,4.30%,0.00%,4.30%,1,长飞光纤光缆(光芯片/光通信) 4.30%
009218,博时荣丰回报灵活配置混合C,混合型-灵活,0.00%,0.00%,4.30%,0.00%,4.30%,1,长飞光纤光缆(光芯片/光通信) 4.30%
006282,摩根欧洲动力策略股票(QDII)A,QDII-普通股票,0.00%,0.00%,0.00%,4.27%,4.27%,1,阿斯麦控股公司(电芯片/核心半导体) 4.27%
009707,工银新兴制造混合A,混合型-偏股,0.00%,0.00%,0.00%,4.27%,4.27%,1,中芯国际(电芯片/核心半导体) 4.27%
009708,工银新兴制造混合C,混合型-偏股,0.00%,0.00%,0.00%,4.27%,4.27%,1,中芯国际(电芯片/核心半导体) 4.27%
019450,摩根欧洲动力策略股票(QDII)C,QDII-普通股票,0.00%,0.00%,0.00%,4.27%,4.27%,1,阿斯麦控股公司(电芯片/核心半导体) 4.27%
012584,南方中国新兴经济9个月持有期混合(QDII)A,QDII-混合偏股,0.00%,0.00%,4.26%,0.00%,4.26%,1,长飞光纤光缆(光芯片/光通信) 4.26%
012585,南方中国新兴经济9个月持有期混合(QDII)C,QDII-混合偏股,0.00%,0.00%,4.26%,0.00%,4.26%,1,长飞光纤光缆(光芯片/光通信) 4.26%
513320,港股通新经济ETF易方达,指数型-股票,0.00%,0.00%,0.00%,4.25%,4.25%,1,中芯国际(电芯片/核心半导体) 4.25%
012123,招商金安成长严选混合,混合型-偏股,0.00%,0.00%,4.22%,0.00%,4.22%,1,长飞光纤光缆(光芯片/光通信) 4.22%
008063,汇添富大盘核心资产混合A,混合型-偏股,0.00%,0.00%,4.19%,0.00%,4.19%,1,长飞光纤光缆(光芯片/光通信) 4.19%
015116,汇添富大盘核心资产混合C,混合型-偏股,0.00%,0.00%,4.19%,0.00%,4.19%,1,长飞光纤光缆(光芯片/光通信) 4.19%
015117,汇添富大盘核心资产混合D,混合型-偏股,0.00%,0.00%,4.19%,0.00%,4.19%,1,长飞光纤光缆(光芯片/光通信) 4.19%
015219,鹏扬产业智选一年持有混合A,混合型-偏股,0.00%,0.00%,0.00%,4.19%,4.19%,1,中芯国际(电芯片/核心半导体) 4.19%
015220,鹏扬产业智选一年持有混合C,混合型-偏股,0.00%,0.00%,0.00%,4.19%,4.19%,1,中芯国际(电芯片/核心半导体) 4.19%
019003,易方达科技智选混合A,混合型-偏股,0.00%,0.00%,4.19%,0.00%,4.19%,1,长飞光纤光缆(光芯片/光通信) 4.19%
019004,易方达科技智选混合C,混合型-偏股,0.00%,0.00%,4.19%,0.00%,4.19%,1,长飞光纤光缆(光芯片/光通信) 4.19%
022704,银河科技成长混合发起式A,混合型-偏股,0.00%,0.00%,0.00%,4.19%,4.19%,1,华虹半导体(电芯片/核心半导体) 4.19%
022705,银河科技成长混合发起式C,混合型-偏股,0.00%,0.00%,0.00%,4.19%,4.19%,1,华虹半导体(电芯片/核心半导体) 4.19%
021382,博时科技驱动混合A,混合型-偏股,0.00%,0.00%,4.18%,0.00%,4.18%,1,长飞光纤光缆(光芯片/光通信) 4.18%
021383,博时科技驱动混合C,混合型-偏股,0.00%,0.00%,4.18%,0.00%,4.18%,1,长飞光纤光缆(光芯片/光通信) 4.18%
014527,汇添富中盘潜力增长一年持有混合C,混合型-偏股,0.00%,0.00%,0.00%,4.17%,4.17%,1,华虹半导体(电芯片/核心半导体) 4.17%
014526,汇添富中盘潜力增长一年持有混合A,混合型-偏股,0.00%,0.00%,0.00%,4.17%,4.17%,1,华虹半导体(电芯片/核心半导体) 4.17%
022334,广发产业甄选混合A,混合型-偏股,0.00%,0.00%,0.00%,4.17%,4.17%,1,中芯国际(电芯片/核心半导体) 4.17%
022335,广发产业甄选混合C,混合型-偏股,0.00%,0.00%,0.00%,4.17%,4.17%,1,中芯国际(电芯片/核心半导体) 4.17%
159747,香港科技ETF南方,指数型-海外股票,0.00%,0.00%,0.00%,4.15%,4.15%,1,中芯国际(电芯片/核心半导体) 4.15%
014037,博时成长回报混合C,混合型-偏股,0.00%,0.00%,0.00%,4.10%,4.10%,1,华虹半导体(电芯片/核心半导体) 4.10%
014036,博时成长回报混合A,混合型-偏股,0.00%,0.00%,0.00%,4.10%,4.10%,1,华虹半导体(电芯片/核心半导体) 4.10%
006614,嘉实港股通新经济指数C,指数型-股票,0.00%,0.00%,0.00%,4.04%,4.04%,1,中芯国际(电芯片/核心半导体) 4.04%
501311,嘉实港股通新经济指数A,指数型-股票,0.00%,0.00%,0.00%,4.04%,4.04%,1,中芯国际(电芯片/核心半导体) 4.04%
017565,华安产业优选混合C,混合型-偏股,0.00%,0.00%,4.02%,0.00%,4.02%,1,长飞光纤光缆(光芯片/光通信) 4.02%
017564,华安产业优选混合A,混合型-偏股,0.00%,0.00%,4.02%,0.00%,4.02%,1,长飞光纤光缆(光芯片/光通信) 4.02%
021967,西部利得均衡优选混合A,混合型-偏股,0.00%,0.00%,4.02%,0.00%,4.02%,1,长飞光纤光缆(光芯片/光通信) 4.02%
021968,西部利得均衡优选混合C,混合型-偏股,0.00%,0.00%,4.02%,0.00%,4.02%,1,长飞光纤光缆(光芯片/光通信) 4.02%
007346,易方达科技创新混合A,混合型-偏股,0.00%,0.00%,4.01%,0.00%,4.01%,1,长飞光纤光缆(光芯片/光通信) 4.01%
025701,易方达科技创新混合C,混合型-偏股,0.00%,0.00%,4.01%,0.00%,4.01%,1,长飞光纤光缆(光芯片/光通信) 4.01%
007353,工银科技创新混合,混合型-偏股,0.00%,0.00%,0.00%,4.00%,4.00%,1,中芯国际(电芯片/核心半导体) 4.00%
160125,南方香港优选股票,QDII-普通股票,0.00%,0.00%,4.00%,0.00%,4.00%,1,长飞光纤光缆(光芯片/光通信) 4.00%
019427,中银数字经济混合C,混合型-偏股,0.00%,0.00%,0.00%,3.99%,3.99%,1,华虹半导体(电芯片/核心半导体) 3.99%
019426,中银数字经济混合A,混合型-偏股,0.00%,0.00%,0.00%,3.99%,3.99%,1,华虹半导体(电芯片/核心半导体) 3.99%
