基金代码,基金名称,基金类型,AXTI占比,海外存储占比,海外光芯片/光通信占比,海外电芯片/核心半导体占比,海外合计占比,匹配持仓数,核心持仓摘要
001691,南方香港成长灵活配置混合,QDII-混合灵活,0.00%,0.00%,6.60%,0.00%,6.60%,1,长飞光纤光缆(光芯片/光通信) 6.60%
017746,建信电子行业股票A,股票型,0.00%,0.00%,0.00%,6.60%,6.60%,1,华虹半导体(电芯片/核心半导体) 6.60%
017747,建信电子行业股票C,股票型,0.00%,0.00%,0.00%,6.60%,6.60%,1,华虹半导体(电芯片/核心半导体) 6.60%
009007,兴全沪港深两年持有混合,混合型-偏股,0.00%,0.00%,3.81%,2.76%,6.57%,2,高伟电子(光芯片/光通信) 3.81%; 中芯国际(电芯片/核心半导体) 2.76%
015409,景顺长城成长趋势股票C,股票型,0.00%,0.00%,0.00%,6.55%,6.55%,1,中芯国际(电芯片/核心半导体) 6.55%
015408,景顺长城成长趋势股票A,股票型,0.00%,0.00%,0.00%,6.55%,6.55%,1,中芯国际(电芯片/核心半导体) 6.55%
513180,恒生科技ETF华夏,指数型-海外股票,0.00%,0.00%,0.00%,6.52%,6.52%,1,中芯国际(电芯片/核心半导体) 6.52%
016501,华夏半导体龙头混合发起C,混合型-偏股,0.00%,0.00%,0.00%,6.50%,6.50%,1,中芯国际(电芯片/核心半导体) 6.50%
016500,华夏半导体龙头混合发起A,混合型-偏股,0.00%,0.00%,0.00%,6.50%,6.50%,1,中芯国际(电芯片/核心半导体) 6.50%
520920,天弘恒生科技ETF,指数型-海外股票,0.00%,0.00%,0.00%,6.49%,6.49%,1,中芯国际(电芯片/核心半导体) 6.49%
001048,富国新兴产业股票A,股票型,0.00%,0.00%,6.47%,0.00%,6.47%,1,长飞光纤光缆(光芯片/光通信) 6.47%
015686,富国新兴产业股票C,股票型,0.00%,0.00%,6.47%,0.00%,6.47%,1,长飞光纤光缆(光芯片/光通信) 6.47%
017290,中欧科创主题混合(LOF)C,混合型-偏股,0.00%,0.00%,0.00%,6.46%,6.46%,1,中芯国际(电芯片/核心半导体) 6.46%
025426,国联中证港股通综合指数增强A,指数型-股票,0.00%,0.00%,0.00%,6.46%,6.46%,1,中芯国际(电芯片/核心半导体) 6.46%
025427,国联中证港股通综合指数增强C,指数型-股票,0.00%,0.00%,0.00%,6.46%,6.46%,1,中芯国际(电芯片/核心半导体) 6.46%
501081,中欧科创主题混合(LOF)A,混合型-偏股,0.00%,0.00%,0.00%,6.46%,6.46%,1,中芯国际(电芯片/核心半导体) 6.46%
159741,恒生科技ETF嘉实,指数型-海外股票,0.00%,0.00%,0.00%,6.45%,6.45%,1,中芯国际(电芯片/核心半导体) 6.45%
011599,国联安匠心科技1个月滚动持有混合,混合型-偏股,0.00%,0.00%,0.00%,6.39%,6.39%,1,华虹半导体(电芯片/核心半导体) 6.39%
013841,银华集成电路混合C,混合型-偏股,0.00%,0.00%,0.00%,6.37%,6.37%,2,中芯国际(电芯片/核心半导体) 3.19%; 华虹半导体(电芯片/核心半导体) 3.18%
013840,银华集成电路混合A,混合型-偏股,0.00%,0.00%,0.00%,6.37%,6.37%,2,中芯国际(电芯片/核心半导体) 3.19%; 华虹半导体(电芯片/核心半导体) 3.18%
520590,恒生科技ETF鹏华,指数型-海外股票,0.00%,0.00%,0.00%,6.37%,6.37%,1,中芯国际(电芯片/核心半导体) 6.37%
008009,华商高端装备制造股票A,股票型,0.00%,0.00%,6.35%,0.00%,6.35%,1,长飞光纤光缆(光芯片/光通信) 6.35%
009777,中欧阿尔法混合C,混合型-偏股,0.00%,0.00%,6.35%,0.00%,6.35%,1,长飞光纤光缆(光芯片/光通信) 6.35%
009776,中欧阿尔法混合A,混合型-偏股,0.00%,0.00%,6.35%,0.00%,6.35%,1,长飞光纤光缆(光芯片/光通信) 6.35%
016050,华商高端装备制造股票C,股票型,0.00%,0.00%,6.35%,0.00%,6.35%,1,长飞光纤光缆(光芯片/光通信) 6.35%
019160,中欧产业领航混合C,混合型-偏股,0.00%,0.00%,6.33%,0.00%,6.33%,1,长飞光纤光缆(光芯片/光通信) 6.33%
019159,中欧产业领航混合A,混合型-偏股,0.00%,0.00%,6.33%,0.00%,6.33%,1,长飞光纤光缆(光芯片/光通信) 6.33%
011363,南方兴润价值一年持有混合A,混合型-灵活,0.00%,0.00%,3.48%,2.83%,6.31%,2,长飞光纤光缆(光芯片/光通信) 3.48%; 华虹半导体(电芯片/核心半导体) 2.83%
011364,南方兴润价值一年持有混合C,混合型-灵活,0.00%,0.00%,3.48%,2.83%,6.31%,2,长飞光纤光缆(光芯片/光通信) 3.48%; 华虹半导体(电芯片/核心半导体) 2.83%
513260,恒生科技ETF汇添富,指数型-海外股票,0.00%,0.00%,0.00%,6.31%,6.31%,1,中芯国际(电芯片/核心半导体) 6.31%
520570,恒生科技ETF南方,指数型-海外股票,0.00%,0.00%,0.00%,6.31%,6.31%,1,中芯国际(电芯片/核心半导体) 6.31%
006263,易方达香港小型股指数C,指数型-海外股票,0.00%,0.00%,6.30%,0.00%,6.30%,1,长飞光纤光缆(光芯片/光通信) 6.30%
161124,易方达香港小型股指数A,指数型-海外股票,0.00%,0.00%,6.30%,0.00%,6.30%,1,长飞光纤光缆(光芯片/光通信) 6.30%
159742,恒生科技ETF博时,指数型-海外股票,0.00%,0.00%,0.00%,6.29%,6.29%,1,中芯国际(电芯片/核心半导体) 6.29%
513010,恒生科技ETF易方达,指数型-海外股票,0.00%,0.00%,0.00%,6.27%,6.27%,1,中芯国际(电芯片/核心半导体) 6.27%
000934,国富大中华精选混合,QDII-混合偏股,0.00%,0.00%,1.84%,4.36%,6.20%,3,台积电(电芯片/核心半导体) 2.25%; 台积电(电芯片/核心半导体) 2.11%; 高伟电子(光芯片/光通信) 1.84%
006370,国富大中华精选混合美元,QDII-混合偏股,0.00%,0.00%,1.84%,4.36%,6.20%,3,台积电(电芯片/核心半导体) 2.25%; 台积电(电芯片/核心半导体) 2.11%; 高伟电子(光芯片/光通信) 1.84%
004934,圆信永丰消费升级,混合型-灵活,0.00%,0.00%,0.00%,6.19%,6.19%,1,中芯国际(电芯片/核心半导体) 6.19%
159269,港股通科技ETF南方,指数型-股票,0.00%,0.00%,0.00%,6.19%,6.19%,1,中芯国际(电芯片/核心半导体) 6.19%
513580,恒生科技ETF华安,指数型-海外股票,0.00%,0.00%,0.00%,6.18%,6.18%,1,中芯国际(电芯片/核心半导体) 6.18%
520860,港股通科技ETF富国,指数型-股票,0.00%,0.00%,0.00%,6.17%,6.17%,1,中芯国际(电芯片/核心半导体) 6.17%
159740,恒生科技ETF大成,指数型-海外股票,0.00%,0.00%,0.00%,6.16%,6.16%,1,中芯国际(电芯片/核心半导体) 6.16%
513860,港股通科技ETF海富通,指数型-股票,0.00%,0.00%,0.00%,6.16%,6.16%,1,中芯国际(电芯片/核心半导体) 6.16%
513020,港股科技ETF国泰,指数型-股票,0.00%,0.00%,0.00%,6.15%,6.15%,1,中芯国际(电芯片/核心半导体) 6.15%
010647,融通价值趋势混合C,混合型-偏股,0.00%,0.00%,6.14%,0.00%,6.14%,1,长飞光纤光缆(光芯片/光通信) 6.14%
010646,融通价值趋势混合A,混合型-偏股,0.00%,0.00%,6.14%,0.00%,6.14%,1,长飞光纤光缆(光芯片/光通信) 6.14%
013414,太平智远三个月定开股票发起式,股票型,0.00%,0.00%,0.00%,6.14%,6.14%,1,华虹半导体(电芯片/核心半导体) 6.14%
014023,宏利景气领航两年持有混合,混合型-偏股,0.00%,0.00%,6.14%,0.00%,6.14%,1,长飞光纤光缆(光芯片/光通信) 6.14%
